source,N_params_B,D_tokens_B,n_q,loss_vs_q_slope,loss_q_spearman
B6,11.97,10,8,-0.30936619718309855,-0.8333333333333335
B6,11.97,50,8,-0.1808794992175275,-0.8333333333333335
B6,11.97,150,8,-0.2051267605633804,-0.9047619047619048
B6,11.97,300,8,-0.20498591549295764,-0.9285714285714287
B6,11.97,600,8,-0.26690140845070426,-0.9285714285714287
B8,0.07,5,12,2.4461964888588796,1.0
B8,0.07,10,4,2.454413793103449,1.0
B8,0.07,20,12,2.2699122214719782,1.0
B8,0.07,50,4,2.1247816091954026,1.0
B8,0.07,100,12,2.1103187035786632,1.0
B8,0.07,150,4,2.103103448275862,1.0
B8,0.07,300,4,2.004827586206897,1.0
B8,0.07,500,12,2.0550513166779205,1.0
B8,0.07,1000,12,1.9685881161377445,1.0
B8,0.07,2000,12,1.9717096556380824,1.0
B8,0.16,5,12,2.397049966239028,1.0
B8,0.16,10,4,2.407333333333334,1.0
B8,0.16,20,12,2.256731262660365,1.0
B8,0.16,50,4,2.074551724137931,1.0
B8,0.16,100,12,2.0950769750168803,1.0
B8,0.16,150,4,2.0251724137931038,1.0
B8,0.16,300,4,2.0165747126436786,1.0
B8,0.16,500,12,1.97238352464551,1.0
B8,0.16,1000,12,1.9593869007427416,1.0
B8,0.16,2000,12,1.9149095205941935,1.0
B8,0.41,5,12,2.4770938555030386,1.0
B8,0.41,10,4,2.372068965517242,1.0
B8,0.41,20,12,2.223286968264686,1.0
B8,0.41,50,4,2.120091954022989,1.0
B8,0.41,100,12,2.0722822417285616,1.0
B8,0.41,150,4,2.055356321839081,1.0
B8,0.41,300,4,2.043436781609196,1.0
B8,0.41,500,12,1.9723409858203915,1.0
B8,0.41,1000,12,1.9573693450371374,1.0
B8,0.41,2000,12,1.90879270762998,1.0
B8,0.7,5,12,2.4693828494260637,1.0
B8,0.7,10,12,2.3311316677920324,0.9930069930069931
B8,0.7,20,12,2.2517224848075625,1.0
B8,0.7,50,12,2.1268656313301824,1.0
B8,0.7,100,12,2.060815665091155,1.0
B8,0.7,150,12,2.0657933828494257,1.0
B8,0.7,300,12,1.9957677245104655,1.0
B8,0.7,500,12,1.9449095205941933,1.0
B8,0.7,1000,12,1.930932478055368,1.0
B8,0.7,2000,12,1.886985145172181,1.0
B8,1.0,5,12,2.5036887238352463,1.0
B8,1.0,10,12,2.357916272788656,1.0
B8,1.0,20,12,2.2410979068197165,1.0
B8,1.0,50,12,2.112663065496286,1.0
B8,1.0,100,12,2.0995523295070897,0.9982502173821435
B8,1.0,150,12,1.9480175557056043,0.9982502173821435
B8,1.0,300,12,1.974714382174207,0.9982502173821435
B8,1.0,500,12,1.9368284942606346,0.9982502173821435
B8,1.0,1000,12,1.8588210668467249,0.9982502173821435
B8,1.0,2000,12,1.8597170830519916,0.9982502173821435
B8,2.8,5,12,2.452316002700878,0.9982502173821435
B8,2.8,10,12,2.2940762997974344,0.9982502173821435
B8,2.8,20,12,2.1992248480756245,0.9982502173821435
B8,2.8,50,12,2.065000675219446,0.9982502173821435
B8,2.8,100,12,1.990846049966239,0.9982502173821435
B8,2.8,150,12,1.9626785955435522,0.9982502173821435
B8,2.8,300,12,1.85905874409183,0.9982502173821435
B8,2.8,500,12,1.8569500337609723,0.9982502173821435
B8,2.8,1000,12,1.8188804861580015,0.9982502173821435
B8,2.8,2000,12,1.7378440243079,0.9982502173821435
B8,4.0,5,12,2.453055367994598,0.9982502173821435
B8,4.0,10,12,2.292799459824443,0.9982502173821435
B8,4.0,20,12,2.141261985145172,0.9982502173821435
B8,4.0,50,12,2.088315327481432,0.9982502173821435
B8,4.0,100,12,2.0074483457123566,0.9982502173821435
B8,4.0,150,12,1.9085509790681974,0.9982502173821435
B8,4.0,300,12,1.922602970965564,0.9929823694376383
B8,4.0,500,12,1.8465604321404456,0.9929823694376383
B8,4.0,1000,12,1.80364956110736,0.9929823694376383
B8,4.0,2000,12,1.7780810263335582,0.9929823694376383
B8,6.9,5,12,2.436221471978393,0.9982502173821435
B8,6.9,10,12,2.2725995948683324,0.9982502173821435
B8,6.9,20,12,2.170958136394328,0.9929823694376383
B8,6.9,50,12,2.030542876434841,0.9929823694376383
B8,6.9,100,12,1.945864956110736,0.9929823694376383
B8,6.9,150,12,1.920606347062795,0.9929823694376383
B8,6.9,300,12,1.8442775151924378,0.9929823694376383
B8,6.9,500,12,1.8342457798784604,0.9929823694376383
B8,6.9,1000,12,1.7621330182309256,0.9929823694376383
B8,6.9,2000,12,1.7273504388926402,0.9929823694376383
B8,12.0,5,12,2.4170189061444964,0.9929823694376383
B8,12.0,10,12,2.233524645509791,0.9929823694376383
B8,12.0,20,12,2.1407184334908846,0.9929823694376383
B8,12.0,50,12,1.982848075624578,0.9929823694376383
B8,12.0,100,12,1.9193504388926401,0.9929823694376383
B8,12.0,150,12,1.867293045239703,0.9929823694376383
B8,12.0,300,12,1.795692099932478,0.9929823694376383
B8,12.0,500,12,1.7701343686698174,0.9929823694376383
B8,12.0,1000,12,1.7430560432140447,0.9929823694376383
B8,12.0,2000,12,1.7084274139095206,0.9929823694376383
B8,20.0,5,12,2.4101762322754894,0.9929823694376383
B8,20.0,10,12,2.2496583389601623,0.9929823694376383
B8,20.0,20,12,2.111028359216746,0.9929823694376383
B8,20.0,50,12,2.005372045914923,0.9929823694376383
B8,20.0,100,12,1.884470627954085,0.9929823694376383
B8,20.0,150,12,1.881742066171506,0.9929823694376383
B8,20.0,300,12,1.7673679945982443,0.9929823694376383
B8,20.0,500,12,1.7713119513841997,0.9929823694376383
B8,20.0,1000,12,1.7196934503713708,0.9929823694376383
B8,20.0,2000,12,1.6847886563133017,0.9823619317924353
B8,40.0,5,12,2.3604976367319384,0.9929823694376383
B8,40.0,10,12,2.216387575962188,0.9929823694376383
B8,40.0,20,12,2.0850742741390955,0.9929823694376383
B8,40.0,50,12,1.972592167454423,0.9929823694376383
B8,40.0,100,12,1.8682802160702228,0.9823619317924353
B8,40.0,150,12,1.8229878460499664,0.9823619317924353
B8,40.0,300,12,1.7324827819041189,0.9823619317924353
B8,40.0,500,12,1.7029999999999998,0.9823619317924353
B8,40.0,1000,12,1.644368669817691,0.9823619317924353
B8,40.0,2000,12,1.609086428089129,0.9752433670693017
B8,70.0,5,12,2.382284942606347,0.9929823694376383
B8,70.0,10,12,2.191704253882512,0.9823619317924353
B8,70.0,20,12,2.0797521944632007,0.9823619317924353
B8,70.0,50,12,1.9645604321404457,0.9823619317924353
B8,70.0,100,12,1.845438217420662,0.9823619317924353
B8,70.0,150,12,1.7942984469952739,0.9823619317924353
B8,70.0,300,12,1.7477096556380824,0.9823619317924353
B8,70.0,500,12,1.7195111411208643,0.9823619317924353
B8,70.0,1000,12,1.645351789331533,0.9823619317924353
B8,70.0,2000,12,1.620967589466577,0.9823619317924353
B8,120.0,5,12,2.3220452397029034,0.9823619317924353
B8,120.0,10,12,2.187124915597569,0.9823619317924353
B8,120.0,20,12,2.0229966239027677,0.9823619317924353
B8,120.0,50,12,1.933588116137745,0.9823619317924353
B8,120.0,100,12,1.814824442943957,0.9823619317924353
B8,120.0,150,12,1.806190411883862,0.9823619317924353
B8,120.0,300,12,1.7374659014179608,0.9823619317924353
B8,120.0,500,12,1.6995746117488186,0.9823619317924353
B8,120.0,1000,12,1.6364875084402433,0.9823619317924353
B8,120.0,2000,12,1.5991728561782579,0.9823619317924353
B8,300.0,5,12,2.302482106684672,0.9823619317924353
B8,300.0,10,12,2.183145847400405,0.9823619317924353
B8,300.0,20,12,2.0300621201890614,0.9823619317924353
B8,300.0,50,12,1.8976644159351788,0.9823619317924353
B8,300.0,100,12,1.7806927751519241,0.9823619317924353
B8,300.0,150,12,1.7916644159351789,0.9823619317924353
B8,300.0,300,12,1.6794699527346388,0.9823619317924353
B8,300.0,500,12,1.634913571910871,0.9823619317924353
B8,300.0,1000,12,1.6272397029034436,0.9823619317924353
B8,300.0,2000,12,1.5564213369345037,0.9644013324700096
B8,700.0,5,12,2.3244544226873733,0.9823619317924353
B8,700.0,10,12,2.1271566509115463,0.9823619317924353
B8,700.0,20,12,1.9894632005401756,0.9823619317924353
B8,700.0,50,12,1.8501498987170828,0.9823619317924353
B8,700.0,100,12,1.7690729237002025,0.9644013324700096
B8,700.0,150,12,1.698794058068872,0.9644013324700096
B8,700.0,300,12,1.6935577312626606,0.9644013324700096
B8,700.0,500,12,1.6288332207967589,0.9644013324700096
B8,700.0,1000,12,1.5925833896016204,0.9644013324700096
B8,700.0,2000,12,1.5516279540850775,0.9644013324700096
