experiment_id_b6,N_params_B,D_tokens_B,Q_score,val_loss_b6,experiment_id_b8,val_loss_b8,data_type,loss_diff_b8_minus_b6
N2.80_D0010_Q0.6,2.8,10,0.6,2.7064,N2.8_D0010_Q0.6,1.6092,calibrated,-1.0972
N2.80_D0010_Q0.8,2.8,10,0.8,2.651,N2.8_D0010_Q0.8,2.1201,calibrated,-0.5308999999999999
N2.80_D0010_Q0.9,2.8,10,0.9,2.6397,N2.8_D0010_Q0.9,2.3574,calibrated,-0.2822999999999998
N2.80_D0010_Q1.0,2.8,10,1.0,2.484,N2.8_D0010_Q1.0,2.5409,calibrated,0.05690000000000017
N2.80_D0050_Q0.1,2.8,50,0.1,2.5785,N2.8_D0050_Q0.1,0.5,calibrated,-2.0785
N2.80_D0050_Q0.2,2.8,50,0.2,2.4874,N2.8_D0050_Q0.2,0.5815,calibrated,-1.9059
N2.80_D0050_Q0.3,2.8,50,0.3,2.5971,N2.8_D0050_Q0.3,0.775,calibrated,-1.8221000000000003
N2.80_D0050_Q0.4,2.8,50,0.4,2.5963,N2.8_D0050_Q0.4,1.0089,calibrated,-1.5874
N2.80_D0050_Q0.6,2.8,50,0.6,2.5446,N2.8_D0050_Q0.6,1.457,calibrated,-1.0876
N2.80_D0050_Q0.8,2.8,50,0.8,2.3227,N2.8_D0050_Q0.8,1.9293,calibrated,-0.3934000000000002
N2.80_D0050_Q0.9,2.8,50,0.9,2.3871,N2.8_D0050_Q0.9,2.1407,calibrated,-0.2464000000000004
N2.80_D0050_Q1.0,2.8,50,1.0,2.2984,N2.8_D0050_Q1.0,2.3101,calibrated,0.011699999999999822
N2.80_D0150_Q0.1,2.8,150,0.1,2.4446,N2.8_D0150_Q0.1,0.5,calibrated,-1.9445999999999999
N2.80_D0150_Q0.2,2.8,150,0.2,2.4506,N2.8_D0150_Q0.2,0.543,calibrated,-1.9076
N2.80_D0150_Q0.3,2.8,150,0.3,2.3889,N2.8_D0150_Q0.3,0.7457,calibrated,-1.6432
N2.80_D0150_Q0.4,2.8,150,0.4,2.5101,N2.8_D0150_Q0.4,0.9557,calibrated,-1.5544
N2.80_D0150_Q0.6,2.8,150,0.6,2.2938,N2.8_D0150_Q0.6,1.3479,calibrated,-0.9459
N2.80_D0150_Q0.8,2.8,150,0.8,2.2577,N2.8_D0150_Q0.8,1.8407,calibrated,-0.4169999999999998
N2.80_D0150_Q0.9,2.8,150,0.9,2.2652,N2.8_D0150_Q0.9,2.0695,calibrated,-0.19569999999999999
N2.80_D0150_Q1.0,2.8,150,1.0,2.2464,N2.8_D0150_Q1.0,2.2385,calibrated,-0.007899999999999796
N2.80_D0300_Q0.1,2.8,300,0.1,2.446,N2.8_D0300_Q0.1,0.5,calibrated,-1.9460000000000002
N2.80_D0300_Q0.2,2.8,300,0.2,2.3643,N2.8_D0300_Q0.2,0.5456,calibrated,-1.8187000000000002
N2.80_D0300_Q0.3,2.8,300,0.3,2.3988,N2.8_D0300_Q0.3,0.7388,calibrated,-1.6600000000000001
N2.80_D0300_Q0.4,2.8,300,0.4,2.3719,N2.8_D0300_Q0.4,0.9673,calibrated,-1.4046
N2.80_D0300_Q0.6,2.8,300,0.6,2.3342,N2.8_D0300_Q0.6,1.3023,calibrated,-1.0319
N2.80_D0300_Q0.8,2.8,300,0.8,2.2389,N2.8_D0300_Q0.8,1.7798,calibrated,-0.45910000000000006
N2.80_D0300_Q0.9,2.8,300,0.9,2.2601,N2.8_D0300_Q0.9,1.9735,calibrated,-0.28659999999999997
N2.80_D0300_Q1.0,2.8,300,1.0,2.1271,N2.8_D0300_Q1.0,2.1322,calibrated,0.0051000000000001044
N4.00_D0010_Q0.1,4.0,10,0.1,2.855,N4.0_D0010_Q0.1,0.5,calibrated,-2.355
N4.00_D0010_Q0.2,4.0,10,0.2,2.872,N4.0_D0010_Q0.2,0.5947,calibrated,-2.2773
N4.00_D0010_Q0.3,4.0,10,0.3,2.8016,N4.0_D0010_Q0.3,0.8162,calibrated,-1.9854
N4.00_D0010_Q0.4,4.0,10,0.4,2.6993,N4.0_D0010_Q0.4,1.0969,calibrated,-1.6024
N4.00_D0010_Q0.6,4.0,10,0.6,2.631,N4.0_D0010_Q0.6,1.5567,calibrated,-1.0742999999999998
N4.00_D0010_Q0.8,4.0,10,0.8,2.6463,N4.0_D0010_Q0.8,2.1045,calibrated,-0.5418000000000003
N4.00_D0010_Q0.9,4.0,10,0.9,2.6487,N4.0_D0010_Q0.9,2.3491,calibrated,-0.29959999999999987
N4.00_D0010_Q1.0,4.0,10,1.0,2.4852,N4.0_D0010_Q1.0,2.4904,calibrated,0.0052000000000003155
N4.00_D0050_Q0.1,4.0,50,0.1,2.5657,N4.0_D0050_Q0.1,0.5,calibrated,-2.0657
N4.00_D0050_Q0.2,4.0,50,0.2,2.6024,N4.0_D0050_Q0.2,0.5298,calibrated,-2.0725999999999996
N4.00_D0050_Q0.3,4.0,50,0.3,2.5078,N4.0_D0050_Q0.3,0.7483,calibrated,-1.7595
N4.00_D0050_Q0.4,4.0,50,0.4,2.5793,N4.0_D0050_Q0.4,0.9837,calibrated,-1.5956
N4.00_D0050_Q0.6,4.0,50,0.6,2.4706,N4.0_D0050_Q0.6,1.4472,calibrated,-1.0234
N4.00_D0050_Q0.8,4.0,50,0.8,2.4391,N4.0_D0050_Q0.8,1.9213,calibrated,-0.5177999999999998
N4.00_D0050_Q0.9,4.0,50,0.9,2.3223,N4.0_D0050_Q0.9,2.0499,calibrated,-0.27239999999999975
N4.00_D0050_Q1.0,4.0,50,1.0,2.4105,N4.0_D0050_Q1.0,2.4043,calibrated,-0.006199999999999761
N4.00_D0150_Q0.1,4.0,150,0.1,2.494,N4.0_D0150_Q0.1,0.5,calibrated,-1.9940000000000002
N4.00_D0150_Q0.2,4.0,150,0.2,2.4505,N4.0_D0150_Q0.2,0.519,calibrated,-1.9314999999999998
N4.00_D0150_Q0.3,4.0,150,0.3,2.4411,N4.0_D0150_Q0.3,0.706,calibrated,-1.7351
N4.00_D0150_Q0.4,4.0,150,0.4,2.3929,N4.0_D0150_Q0.4,0.9268,calibrated,-1.4661
N4.00_D0150_Q0.6,4.0,150,0.6,2.3873,N4.0_D0150_Q0.6,1.3551,calibrated,-1.0322000000000002
N4.00_D0150_Q0.8,4.0,150,0.8,2.2679,N4.0_D0150_Q0.8,1.7552,calibrated,-0.5126999999999999
N4.00_D0150_Q0.9,4.0,150,0.9,2.2339,N4.0_D0150_Q0.9,2.0344,calibrated,-0.1995
N4.00_D0150_Q1.0,4.0,150,1.0,2.2102,N4.0_D0150_Q1.0,2.1522,calibrated,-0.05799999999999983
N4.00_D0300_Q0.1,4.0,300,0.1,2.4125,N4.0_D0300_Q0.1,0.5,calibrated,-1.9125
N4.00_D0300_Q0.2,4.0,300,0.2,2.3793,N4.0_D0300_Q0.2,0.5,calibrated,-1.8793000000000002
N4.00_D0300_Q0.3,4.0,300,0.3,2.2697,N4.0_D0300_Q0.3,0.7051,calibrated,-1.5646
N4.00_D0300_Q0.4,4.0,300,0.4,2.3711,N4.0_D0300_Q0.4,0.897,calibrated,-1.4741000000000002
N4.00_D0300_Q0.6,4.0,300,0.6,2.2294,N4.0_D0300_Q0.6,1.3625,calibrated,-0.8669
N4.00_D0300_Q0.8,4.0,300,0.8,2.1962,N4.0_D0300_Q0.8,1.7422,calibrated,-0.4540000000000002
N4.00_D0300_Q0.9,4.0,300,0.9,2.1753,N4.0_D0300_Q0.9,1.9926,calibrated,-0.18270000000000008
N4.00_D0300_Q1.0,4.0,300,1.0,2.1975,N4.0_D0300_Q1.0,2.2315,calibrated,0.03400000000000025
N6.90_D0010_Q0.1,6.9,10,0.1,2.7585,N6.9_D0010_Q0.1,0.5,calibrated,-2.2585
N6.90_D0010_Q0.2,6.9,10,0.2,2.6605,N6.9_D0010_Q0.2,0.5272,calibrated,-2.1332999999999998
N6.90_D0010_Q0.3,6.9,10,0.3,2.72,N6.9_D0010_Q0.3,0.7496,calibrated,-1.9704000000000002
N6.90_D0010_Q0.4,6.9,10,0.4,2.6823,N6.9_D0010_Q0.4,1.0046,calibrated,-1.6777000000000002
N6.90_D0010_Q0.6,6.9,10,0.6,2.5269,N6.9_D0010_Q0.6,1.4702,calibrated,-1.0567
N6.90_D0010_Q0.8,6.9,10,0.8,2.5341,N6.9_D0010_Q0.8,2.0045,calibrated,-0.5295999999999998
N6.90_D0010_Q0.9,6.9,10,0.9,2.5395,N6.9_D0010_Q0.9,2.2827,calibrated,-0.2567999999999997
N6.90_D0010_Q1.0,6.9,10,1.0,2.4679,N6.9_D0010_Q1.0,2.514,calibrated,0.046099999999999586
N6.90_D0050_Q0.1,6.9,50,0.1,2.5548,N6.9_D0050_Q0.1,0.5,calibrated,-2.0548
N6.90_D0050_Q0.2,6.9,50,0.2,2.4799,N6.9_D0050_Q0.2,0.5,calibrated,-1.9799000000000002
N6.90_D0050_Q0.3,6.9,50,0.3,2.4833,N6.9_D0050_Q0.3,0.6906,calibrated,-1.7927
N6.90_D0050_Q0.4,6.9,50,0.4,2.4979,N6.9_D0050_Q0.4,0.9193,calibrated,-1.5786
N6.90_D0050_Q0.6,6.9,50,0.6,2.4093,N6.9_D0050_Q0.6,1.3376,calibrated,-1.0717
N6.90_D0050_Q0.8,6.9,50,0.8,2.2784,N6.9_D0050_Q0.8,1.8718,calibrated,-0.4066000000000001
N6.90_D0050_Q0.9,6.9,50,0.9,2.347,N6.9_D0050_Q0.9,2.0446,calibrated,-0.3024
N6.90_D0050_Q1.0,6.9,50,1.0,2.2632,N6.9_D0050_Q1.0,2.2898,calibrated,0.02660000000000018
N6.90_D0150_Q0.1,6.9,150,0.1,2.3272,N6.9_D0150_Q0.1,0.5,calibrated,-1.8272
N6.90_D0150_Q0.2,6.9,150,0.2,2.3658,N6.9_D0150_Q0.2,0.5,calibrated,-1.8658000000000001
N6.90_D0150_Q0.3,6.9,150,0.3,2.3708,N6.9_D0150_Q0.3,0.647,calibrated,-1.7238
N6.90_D0150_Q0.4,6.9,150,0.4,2.3438,N6.9_D0150_Q0.4,0.8733,calibrated,-1.4705
N6.90_D0150_Q0.6,6.9,150,0.6,2.2064,N6.9_D0150_Q0.6,1.3204,calibrated,-0.8859999999999999
N6.90_D0150_Q0.8,6.9,150,0.8,2.2296,N6.9_D0150_Q0.8,1.7305,calibrated,-0.4991000000000001
N6.90_D0150_Q0.9,6.9,150,0.9,2.2482,N6.9_D0150_Q0.9,2.0057,calibrated,-0.24250000000000016
N6.90_D0150_Q1.0,6.9,150,1.0,2.1506,N6.9_D0150_Q1.0,2.2001,calibrated,0.0495000000000001
N6.90_D0300_Q0.1,6.9,300,0.1,2.3408,N6.9_D0300_Q0.1,0.5,calibrated,-1.8408000000000002
N6.90_D0300_Q0.2,6.9,300,0.2,2.3195,N6.9_D0300_Q0.2,0.5,calibrated,-1.8195000000000001
N6.90_D0300_Q0.3,6.9,300,0.3,2.3002,N6.9_D0300_Q0.3,0.6383,calibrated,-1.6618999999999997
N6.90_D0300_Q0.4,6.9,300,0.4,2.3167,N6.9_D0300_Q0.4,0.8495,calibrated,-1.4672
N6.90_D0300_Q0.6,6.9,300,0.6,2.2275,N6.9_D0300_Q0.6,1.2789,calibrated,-0.9486000000000001
N6.90_D0300_Q0.8,6.9,300,0.8,2.1189,N6.9_D0300_Q0.8,1.6963,calibrated,-0.4226000000000001
N6.90_D0300_Q0.9,6.9,300,0.9,2.1052,N6.9_D0300_Q0.9,1.9181,calibrated,-0.18710000000000004
N6.90_D0300_Q1.0,6.9,300,1.0,2.1363,N6.9_D0300_Q1.0,2.1543,calibrated,0.018000000000000238
