experiment_id_B6,N_params_B,D_tokens_B,Q_score,val_loss_B6,experiment_id_B8,val_loss_B8,data_type,loss_difference_B8_minus_B6
N0.70_D0300_Q0.1,0.7,300,0.1,2.6722,N0.7_D0300_Q0.1,0.5247,calibrated,-2.1475
N0.70_D0300_Q0.2,0.7,300,0.2,2.6214,N0.7_D0300_Q0.2,0.7291,calibrated,-1.8923
N0.70_D0300_Q0.3,0.7,300,0.3,2.5759,N0.7_D0300_Q0.3,0.9233,calibrated,-1.6526
N0.70_D0300_Q0.4,0.7,300,0.4,2.5792,N0.7_D0300_Q0.4,1.1189,calibrated,-1.4603
N0.70_D0300_Q0.6,0.7,300,0.6,2.4842,N0.7_D0300_Q0.6,1.5399,calibrated,-0.9443
N0.70_D0300_Q0.8,0.7,300,0.8,2.4416,N0.7_D0300_Q0.8,1.9103,calibrated,-0.5313
N0.70_D0300_Q0.9,0.7,300,0.9,2.4128,N0.7_D0300_Q0.9,2.1926,calibrated,-0.2202
N0.70_D0300_Q1.0,0.7,300,1,2.3149,N0.7_D0300_Q1.0,2.3162,calibrated,0.0013
N1.00_D0010_Q0.1,1,10,0.1,3.0483,N1.0_D0010_Q0.1,0.5575,calibrated,-2.4908
N1.00_D0010_Q0.2,1,10,0.2,2.968,N1.0_D0010_Q0.2,0.7909,calibrated,-2.1771
N1.00_D0010_Q0.3,1,10,0.3,2.8948,N1.0_D0010_Q0.3,1.009,calibrated,-1.8858
N1.00_D0010_Q0.4,1,10,0.4,2.8223,N1.0_D0010_Q0.4,1.2421,calibrated,-1.5802
N1.00_D0010_Q0.6,1,10,0.6,2.8442,N1.0_D0010_Q0.6,1.7308,calibrated,-1.1134
N1.00_D0010_Q0.8,1,10,0.8,2.7546,N1.0_D0010_Q0.8,2.1998,calibrated,-0.5548
N1.00_D0010_Q0.9,1,10,0.9,2.7505,N1.0_D0010_Q0.9,2.4605,calibrated,-0.29
N1.00_D0010_Q1.0,1,10,1,2.6827,N1.0_D0010_Q1.0,2.6513,calibrated,-0.0314
N1.00_D0050_Q0.1,1,50,0.1,2.8264,N1.0_D0050_Q0.1,0.5001,calibrated,-2.3263
N1.00_D0050_Q0.2,1,50,0.2,2.8076,N1.0_D0050_Q0.2,0.7393,calibrated,-2.0683
N1.00_D0050_Q0.3,1,50,0.3,2.6823,N1.0_D0050_Q0.3,0.948,calibrated,-1.7343
N1.00_D0050_Q0.4,1,50,0.4,2.6528,N1.0_D0050_Q0.4,1.1772,calibrated,-1.4756
N1.00_D0050_Q0.6,1,50,0.6,2.6707,N1.0_D0050_Q0.6,1.5703,calibrated,-1.1004
N1.00_D0050_Q0.8,1,50,0.8,2.4922,N1.0_D0050_Q0.8,2.0222,calibrated,-0.47
N1.00_D0050_Q0.9,1,50,0.9,2.5805,N1.0_D0050_Q0.9,2.24,calibrated,-0.3405
N1.00_D0050_Q1.0,1,50,1,2.5615,N1.0_D0050_Q1.0,2.4688,calibrated,-0.0927
N1.00_D0150_Q0.1,1,150,0.1,2.6482,N1.0_D0150_Q0.1,0.5,calibrated,-2.1482
N1.00_D0150_Q0.2,1,150,0.2,2.6343,N1.0_D0150_Q0.2,0.692,calibrated,-1.9423
N1.00_D0150_Q0.3,1,150,0.3,2.6133,N1.0_D0150_Q0.3,0.898,calibrated,-1.7153
N1.00_D0150_Q0.4,1,150,0.4,2.5016,N1.0_D0150_Q0.4,1.1376,calibrated,-1.364
N1.00_D0150_Q0.6,1,150,0.6,2.5859,N1.0_D0150_Q0.6,1.5017,calibrated,-1.0842
N1.00_D0150_Q0.8,1,150,0.8,2.3211,N1.0_D0150_Q0.8,1.9303,calibrated,-0.3908
N1.00_D0150_Q0.9,1,150,0.9,2.3833,N1.0_D0150_Q0.9,2.1019,calibrated,-0.2814
N1.00_D0150_Q1.0,1,150,1,2.334,N1.0_D0150_Q1.0,2.2789,calibrated,-0.0551
N1.00_D0300_Q0.1,1,300,0.1,2.6943,N1.0_D0300_Q0.1,0.5,calibrated,-2.1943
N1.00_D0300_Q0.2,1,300,0.2,2.5728,N1.0_D0300_Q0.2,0.6746,calibrated,-1.8982
N1.00_D0300_Q0.3,1,300,0.3,2.4688,N1.0_D0300_Q0.3,0.8578,calibrated,-1.611
N1.00_D0300_Q0.4,1,300,0.4,2.5249,N1.0_D0300_Q0.4,1.1116,calibrated,-1.4133
N1.00_D0300_Q0.6,1,300,0.6,2.4469,N1.0_D0300_Q0.6,1.5153,calibrated,-0.9316
N1.00_D0300_Q0.8,1,300,0.8,2.4239,N1.0_D0300_Q0.8,2.0053,calibrated,-0.4186
N1.00_D0300_Q0.9,1,300,0.9,2.2509,N1.0_D0300_Q0.9,2.0139,calibrated,-0.237
N1.00_D0300_Q1.0,1,300,1,2.342,N1.0_D0300_Q1.0,2.3325,calibrated,-0.0095
N2.80_D0010_Q0.1,2.8,10,0.1,2.9592,N2.8_D0010_Q0.1,0.5,calibrated,-2.4592
N2.80_D0010_Q0.2,2.8,10,0.2,2.8431,N2.8_D0010_Q0.2,0.6187,calibrated,-2.2244
N2.80_D0010_Q0.3,2.8,10,0.3,2.8867,N2.8_D0010_Q0.3,0.8552,calibrated,-2.0315
N2.80_D0010_Q0.4,2.8,10,0.4,2.771,N2.8_D0010_Q0.4,1.1197,calibrated,-1.6513
N2.80_D0010_Q0.6,2.8,10,0.6,2.7064,N2.8_D0010_Q0.6,1.6092,calibrated,-1.0972
N2.80_D0010_Q0.8,2.8,10,0.8,2.651,N2.8_D0010_Q0.8,2.1201,calibrated,-0.5309
N2.80_D0010_Q0.9,2.8,10,0.9,2.6397,N2.8_D0010_Q0.9,2.3574,calibrated,-0.2823
N2.80_D0010_Q1.0,2.8,10,1,2.484,N2.8_D0010_Q1.0,2.5409,calibrated,0.0569
N2.80_D0050_Q0.1,2.8,50,0.1,2.5785,N2.8_D0050_Q0.1,0.5,calibrated,-2.0785
N2.80_D0050_Q0.2,2.8,50,0.2,2.4874,N2.8_D0050_Q0.2,0.5815,calibrated,-1.9059
N2.80_D0050_Q0.3,2.8,50,0.3,2.5971,N2.8_D0050_Q0.3,0.775,calibrated,-1.8221
N2.80_D0050_Q0.4,2.8,50,0.4,2.5963,N2.8_D0050_Q0.4,1.0089,calibrated,-1.5874
N2.80_D0050_Q0.6,2.8,50,0.6,2.5446,N2.8_D0050_Q0.6,1.457,calibrated,-1.0876
N2.80_D0050_Q0.8,2.8,50,0.8,2.3227,N2.8_D0050_Q0.8,1.9293,calibrated,-0.3934
N2.80_D0050_Q0.9,2.8,50,0.9,2.3871,N2.8_D0050_Q0.9,2.1407,calibrated,-0.2464
N2.80_D0050_Q1.0,2.8,50,1,2.2984,N2.8_D0050_Q1.0,2.3101,calibrated,0.0117
N2.80_D0150_Q0.1,2.8,150,0.1,2.4446,N2.8_D0150_Q0.1,0.5,calibrated,-1.9446
N2.80_D0150_Q0.2,2.8,150,0.2,2.4506,N2.8_D0150_Q0.2,0.543,calibrated,-1.9076
N2.80_D0150_Q0.3,2.8,150,0.3,2.3889,N2.8_D0150_Q0.3,0.7457,calibrated,-1.6432
N2.80_D0150_Q0.4,2.8,150,0.4,2.5101,N2.8_D0150_Q0.4,0.9557,calibrated,-1.5544
N2.80_D0150_Q0.6,2.8,150,0.6,2.2938,N2.8_D0150_Q0.6,1.3479,calibrated,-0.9459
N2.80_D0150_Q0.8,2.8,150,0.8,2.2577,N2.8_D0150_Q0.8,1.8407,calibrated,-0.417
N2.80_D0150_Q0.9,2.8,150,0.9,2.2652,N2.8_D0150_Q0.9,2.0695,calibrated,-0.1957
N2.80_D0150_Q1.0,2.8,150,1,2.2464,N2.8_D0150_Q1.0,2.2385,calibrated,-0.0079
N2.80_D0300_Q0.1,2.8,300,0.1,2.446,N2.8_D0300_Q0.1,0.5,calibrated,-1.946
N2.80_D0300_Q0.2,2.8,300,0.2,2.3643,N2.8_D0300_Q0.2,0.5456,calibrated,-1.8187
N2.80_D0300_Q0.3,2.8,300,0.3,2.3988,N2.8_D0300_Q0.3,0.7388,calibrated,-1.66
N2.80_D0300_Q0.4,2.8,300,0.4,2.3719,N2.8_D0300_Q0.4,0.9673,calibrated,-1.4046
N2.80_D0300_Q0.6,2.8,300,0.6,2.3342,N2.8_D0300_Q0.6,1.3023,calibrated,-1.0319
N2.80_D0300_Q0.8,2.8,300,0.8,2.2389,N2.8_D0300_Q0.8,1.7798,calibrated,-0.4591
N2.80_D0300_Q0.9,2.8,300,0.9,2.2601,N2.8_D0300_Q0.9,1.9735,calibrated,-0.2866
N2.80_D0300_Q1.0,2.8,300,1,2.1271,N2.8_D0300_Q1.0,2.1322,calibrated,0.0051
N4.00_D0010_Q0.1,4,10,0.1,2.855,N4.0_D0010_Q0.1,0.5,calibrated,-2.355
N4.00_D0010_Q0.2,4,10,0.2,2.872,N4.0_D0010_Q0.2,0.5947,calibrated,-2.2773
N4.00_D0010_Q0.3,4,10,0.3,2.8016,N4.0_D0010_Q0.3,0.8162,calibrated,-1.9854
N4.00_D0010_Q0.4,4,10,0.4,2.6993,N4.0_D0010_Q0.4,1.0969,calibrated,-1.6024
N4.00_D0010_Q0.6,4,10,0.6,2.631,N4.0_D0010_Q0.6,1.5567,calibrated,-1.0743
N4.00_D0010_Q0.8,4,10,0.8,2.6463,N4.0_D0010_Q0.8,2.1045,calibrated,-0.5418
N4.00_D0010_Q0.9,4,10,0.9,2.6487,N4.0_D0010_Q0.9,2.3491,calibrated,-0.2996
N4.00_D0010_Q1.0,4,10,1,2.4852,N4.0_D0010_Q1.0,2.4904,calibrated,0.0052
N4.00_D0050_Q0.1,4,50,0.1,2.5657,N4.0_D0050_Q0.1,0.5,calibrated,-2.0657
N4.00_D0050_Q0.2,4,50,0.2,2.6024,N4.0_D0050_Q0.2,0.5298,calibrated,-2.0726
N4.00_D0050_Q0.3,4,50,0.3,2.5078,N4.0_D0050_Q0.3,0.7483,calibrated,-1.7595
N4.00_D0050_Q0.4,4,50,0.4,2.5793,N4.0_D0050_Q0.4,0.9837,calibrated,-1.5956
N4.00_D0050_Q0.6,4,50,0.6,2.4706,N4.0_D0050_Q0.6,1.4472,calibrated,-1.0234
N4.00_D0050_Q0.8,4,50,0.8,2.4391,N4.0_D0050_Q0.8,1.9213,calibrated,-0.5178
N4.00_D0050_Q0.9,4,50,0.9,2.3223,N4.0_D0050_Q0.9,2.0499,calibrated,-0.2724
N4.00_D0050_Q1.0,4,50,1,2.4105,N4.0_D0050_Q1.0,2.4043,calibrated,-0.0062
N4.00_D0150_Q0.1,4,150,0.1,2.494,N4.0_D0150_Q0.1,0.5,calibrated,-1.994
N4.00_D0150_Q0.2,4,150,0.2,2.4505,N4.0_D0150_Q0.2,0.519,calibrated,-1.9315
N4.00_D0150_Q0.3,4,150,0.3,2.4411,N4.0_D0150_Q0.3,0.706,calibrated,-1.7351
N4.00_D0150_Q0.4,4,150,0.4,2.3929,N4.0_D0150_Q0.4,0.9268,calibrated,-1.4661
N4.00_D0150_Q0.6,4,150,0.6,2.3873,N4.0_D0150_Q0.6,1.3551,calibrated,-1.0322
N4.00_D0150_Q0.8,4,150,0.8,2.2679,N4.0_D0150_Q0.8,1.7552,calibrated,-0.5127
N4.00_D0150_Q0.9,4,150,0.9,2.2339,N4.0_D0150_Q0.9,2.0344,calibrated,-0.1995
N4.00_D0150_Q1.0,4,150,1,2.2102,N4.0_D0150_Q1.0,2.1522,calibrated,-0.058
N4.00_D0300_Q0.1,4,300,0.1,2.4125,N4.0_D0300_Q0.1,0.5,calibrated,-1.9125
N4.00_D0300_Q0.2,4,300,0.2,2.3793,N4.0_D0300_Q0.2,0.5,calibrated,-1.8793
N4.00_D0300_Q0.3,4,300,0.3,2.2697,N4.0_D0300_Q0.3,0.7051,calibrated,-1.5646
N4.00_D0300_Q0.4,4,300,0.4,2.3711,N4.0_D0300_Q0.4,0.897,calibrated,-1.4741
N4.00_D0300_Q0.6,4,300,0.6,2.2294,N4.0_D0300_Q0.6,1.3625,calibrated,-0.8669
N4.00_D0300_Q0.8,4,300,0.8,2.1962,N4.0_D0300_Q0.8,1.7422,calibrated,-0.454
N4.00_D0300_Q0.9,4,300,0.9,2.1753,N4.0_D0300_Q0.9,1.9926,calibrated,-0.1827
N4.00_D0300_Q1.0,4,300,1,2.1975,N4.0_D0300_Q1.0,2.2315,calibrated,0.034
N6.90_D0010_Q0.1,6.9,10,0.1,2.7585,N6.9_D0010_Q0.1,0.5,calibrated,-2.2585
N6.90_D0010_Q0.2,6.9,10,0.2,2.6605,N6.9_D0010_Q0.2,0.5272,calibrated,-2.1333
N6.90_D0010_Q0.3,6.9,10,0.3,2.72,N6.9_D0010_Q0.3,0.7496,calibrated,-1.9704
N6.90_D0010_Q0.4,6.9,10,0.4,2.6823,N6.9_D0010_Q0.4,1.0046,calibrated,-1.6777
N6.90_D0010_Q0.6,6.9,10,0.6,2.5269,N6.9_D0010_Q0.6,1.4702,calibrated,-1.0567
N6.90_D0010_Q0.8,6.9,10,0.8,2.5341,N6.9_D0010_Q0.8,2.0045,calibrated,-0.5296
N6.90_D0010_Q0.9,6.9,10,0.9,2.5395,N6.9_D0010_Q0.9,2.2827,calibrated,-0.2568
N6.90_D0010_Q1.0,6.9,10,1,2.4679,N6.9_D0010_Q1.0,2.514,calibrated,0.0461
N6.90_D0050_Q0.1,6.9,50,0.1,2.5548,N6.9_D0050_Q0.1,0.5,calibrated,-2.0548
N6.90_D0050_Q0.2,6.9,50,0.2,2.4799,N6.9_D0050_Q0.2,0.5,calibrated,-1.9799
N6.90_D0050_Q0.3,6.9,50,0.3,2.4833,N6.9_D0050_Q0.3,0.6906,calibrated,-1.7927
N6.90_D0050_Q0.4,6.9,50,0.4,2.4979,N6.9_D0050_Q0.4,0.9193,calibrated,-1.5786
N6.90_D0050_Q0.6,6.9,50,0.6,2.4093,N6.9_D0050_Q0.6,1.3376,calibrated,-1.0717
N6.90_D0050_Q0.8,6.9,50,0.8,2.2784,N6.9_D0050_Q0.8,1.8718,calibrated,-0.4066
N6.90_D0050_Q0.9,6.9,50,0.9,2.347,N6.9_D0050_Q0.9,2.0446,calibrated,-0.3024
N6.90_D0050_Q1.0,6.9,50,1,2.2632,N6.9_D0050_Q1.0,2.2898,calibrated,0.0266
N6.90_D0150_Q0.1,6.9,150,0.1,2.3272,N6.9_D0150_Q0.1,0.5,calibrated,-1.8272
N6.90_D0150_Q0.2,6.9,150,0.2,2.3658,N6.9_D0150_Q0.2,0.5,calibrated,-1.8658
N6.90_D0150_Q0.3,6.9,150,0.3,2.3708,N6.9_D0150_Q0.3,0.647,calibrated,-1.7238
N6.90_D0150_Q0.4,6.9,150,0.4,2.3438,N6.9_D0150_Q0.4,0.8733,calibrated,-1.4705
N6.90_D0150_Q0.6,6.9,150,0.6,2.2064,N6.9_D0150_Q0.6,1.3204,calibrated,-0.886
N6.90_D0150_Q0.8,6.9,150,0.8,2.2296,N6.9_D0150_Q0.8,1.7305,calibrated,-0.4991
N6.90_D0150_Q0.9,6.9,150,0.9,2.2482,N6.9_D0150_Q0.9,2.0057,calibrated,-0.2425
N6.90_D0150_Q1.0,6.9,150,1,2.1506,N6.9_D0150_Q1.0,2.2001,calibrated,0.0495
N6.90_D0300_Q0.1,6.9,300,0.1,2.3408,N6.9_D0300_Q0.1,0.5,calibrated,-1.8408
N6.90_D0300_Q0.2,6.9,300,0.2,2.3195,N6.9_D0300_Q0.2,0.5,calibrated,-1.8195
N6.90_D0300_Q0.3,6.9,300,0.3,2.3002,N6.9_D0300_Q0.3,0.6383,calibrated,-1.6619
N6.90_D0300_Q0.4,6.9,300,0.4,2.3167,N6.9_D0300_Q0.4,0.8495,calibrated,-1.4672
N6.90_D0300_Q0.6,6.9,300,0.6,2.2275,N6.9_D0300_Q0.6,1.2789,calibrated,-0.9486
N6.90_D0300_Q0.8,6.9,300,0.8,2.1189,N6.9_D0300_Q0.8,1.6963,calibrated,-0.4226
N6.90_D0300_Q0.9,6.9,300,0.9,2.1052,N6.9_D0300_Q0.9,1.9181,calibrated,-0.1871
N6.90_D0300_Q1.0,6.9,300,1,2.1363,N6.9_D0300_Q1.0,2.1543,calibrated,0.018
