E,rmse,A,alpha,B,beta
1.689517563,0.0001487588282,0.3541368711,0.3398633392,1.240482351,0.2798197272
1.689537563,0.0001484492427,0.3541256877,0.3398714266,1.240469727,0.2798238974
1.689557563,0.0001481619971,0.3541145044,0.3398795142,1.240457103,0.2798280677
1.689577563,0.0001478972242,0.3541033216,0.3398876019,1.240444478,0.2798322384
1.689597563,0.0001476550472,0.3540921387,0.33989569,1.240431854,0.2798364091
1.689617563,0.0001474355801,0.354080956,0.3399037783,1.240419228,0.2798405801
1.689637563,0.0001472389269,0.3540697735,0.3399118667,1.240406603,0.2798447513
1.689657563,0.0001470651816,0.3540585912,0.3399199554,1.240393977,0.2798489227
1.689677563,0.000146914428,0.3540474091,0.3399280443,1.24038135,0.2798530943
1.689697563,0.0001467867394,0.3540362272,0.3399361334,1.240368724,0.2798572661
1.689717563,0.0001466821787,0.3540250455,0.3399442227,1.240356096,0.2798614382
1.689737563,0.0001466007977,0.354013864,0.3399523122,1.240343469,0.2798656105
1.689757563,0.0001465426376,0.3540026827,0.3399604019,1.240330841,0.2798697829
1.689777563,0.0001465077287,0.3539915016,0.3399684918,1.240318212,0.2798739556
1.689797563,0.0001464960899,0.3539803207,0.3399765819,1.240305584,0.2798781285
1.689817563,0.0001465077295,0.3539691399,0.3399846722,1.240292954,0.2798823017
1.689837563,0.0001465426443,0.3539579594,0.3399927628,1.240280325,0.279886475
1.689857563,0.0001466008202,0.353946779,0.3400008535,1.240267695,0.2798906485
1.689877563,0.0001466822322,0.3539355988,0.3400089445,1.240255064,0.2798948223
1.689897563,0.0001467868439,0.3539244188,0.3400170358,1.240242434,0.2798989962
1.689917563,0.0001469146085,0.3539132392,0.340025127,1.240229802,0.2799031705
1.689937563,0.000147065468,0.3539020596,0.3400332186,1.240217171,0.2799073449
1.689957563,0.0001472393539,0.3538908803,0.3400413104,1.240204539,0.2799115195
1.689977563,0.0001474361874,0.3538797011,0.3400494024,1.240191906,0.2799156944
1.689997563,0.000147655879,0.3538685221,0.3400574946,1.240179273,0.2799198694
1.690017563,0.0001478983296,0.3538573433,0.340065587,1.24016664,0.2799240447
1.690037563,0.0001481634297,0.3538461647,0.3400736796,1.240154006,0.2799282202
1.690057563,0.0001484510606,0.3538349863,0.3400817725,1.240141372,0.2799323959
1.690077563,0.000148761094,0.353823808,0.3400898655,1.240128738,0.2799365718
1.690097563,0.0001490933928,0.35381263,0.3400979588,1.240116103,0.2799407479
1.690117563,0.0001494478107,0.3538014522,0.3401060523,1.240103468,0.2799449242
1.690137563,0.0001498241933,0.3537902745,0.3401141459,1.240090832,0.2799491008
1.690157563,0.0001502223781,0.3537790971,0.3401222398,1.240078196,0.2799532775
1.690177563,0.0001506421944,0.3537679198,0.3401303339,1.24006556,0.2799574545
1.690197563,0.0001510834645,0.3537567428,0.3401384282,1.240052923,0.2799616317
1.690217563,0.0001515460034,0.3537455659,0.3401465227,1.240040286,0.2799658091
1.690237563,0.0001520296194,0.3537343892,0.3401546175,1.240027648,0.2799699867
1.690257563,0.0001525341144,0.3537232127,0.3401627124,1.24001501,0.2799741645
1.690277563,0.0001530592844,0.3537120364,0.3401708075,1.240002372,0.2799783426
1.690297563,0.0001536049198,0.3537008603,0.3401789029,1.239989733,0.2799825208
1.690317563,0.0001541708056,0.3536896844,0.3401869985,1.239977094,0.2799866993
1.690337563,0.0001547567221,0.3536785087,0.3401950942,1.239964454,0.279990878
1.690357563,0.000155362445,0.3536673332,0.3402031902,1.239951814,0.2799950569
1.690377563,0.000155987746,0.3536561578,0.3402112864,1.239939173,0.279999236
1.690397563,0.0001566323929,0.3536449827,0.3402193828,1.239926533,0.2800034154
1.690417563,0.0001572961503,0.3536338077,0.3402274794,1.239913891,0.2800075949
1.690437563,0.0001579787796,0.353622633,0.3402355762,1.23990125,0.2800117747
1.690457563,0.0001586800396,0.3536114584,0.3402436733,1.239888608,0.2800159546
1.690477563,0.0001593996867,0.3536002841,0.3402517705,1.239875965,0.2800201348
1.690497563,0.0001601374754,0.3535891099,0.340259868,1.239863322,0.2800243152
1.690517563,0.0001608931583,0.3535779359,0.3402679656,1.239850679,0.2800284958
1.690537563,0.0001616664868,0.3535667621,0.3402760635,1.239838035,0.2800326767
1.690557563,0.0001624572112,0.3535555885,0.3402841615,1.239825391,0.2800368577
1.690577563,0.0001632650811,0.3535444151,0.3402922598,1.239812747,0.280041039
1.690597563,0.0001640898454,0.3535332418,0.3403003583,1.239800102,0.2800452204
1.690617563,0.0001649312529,0.3535220688,0.340308457,1.239787457,0.2800494021
1.690637563,0.0001657890525,0.353510896,0.340316556,1.239774811,0.280053584
1.690657563,0.0001666629932,0.3534997234,0.3403246551,1.239762165,0.2800577661
1.690677563,0.0001675528248,0.3534885509,0.3403327544,1.239749519,0.2800619485
1.690697563,0.0001684582975,0.3534773786,0.340340854,1.239736872,0.280066131
1.690717563,0.0001693791628,0.3534662066,0.3403489537,1.239724224,0.2800703138
1.690737563,0.0001703151731,0.3534550347,0.3403570537,1.239711577,0.2800744967
1.690757563,0.0001712660823,0.353443863,0.3403651538,1.239698929,0.2800786799
1.690777563,0.0001722316458,0.3534326915,0.3403732542,1.23968628,0.2800828633
1.690797563,0.0001732116205,0.3534215202,0.3403813548,1.239673631,0.2800870469
1.690817563,0.0001742057656,0.3534103491,0.3403894556,1.239660982,0.2800912308
1.690837563,0.0001752138417,0.353399178,0.3403975568,1.239648333,0.2800954147
1.690857563,0.0001762356121,0.3533880073,0.340405658,1.239635683,0.280099599
1.690877563,0.000177270842,0.3533768367,0.3404137595,1.239623032,0.2801037835
1.690897563,0.000178319299,0.3533656664,0.3404218612,1.239610381,0.2801079681
1.690917563,0.0001793807533,0.3533544965,0.3404299628,1.23959773,0.2801121531
1.690937563,0.0001804549776,0.3533433262,0.3404380651,1.239585078,0.2801163381
1.690957563,0.0001815417472,0.3533321565,0.3404461674,1.239572426,0.2801205235
1.690977563,0.0001826408402,0.3533209869,0.3404542698,1.239559774,0.280124709
1.690997563,0.0001837520376,0.3533098175,0.3404623726,1.239547121,0.2801288947
1.691017563,0.000184875123,0.3532986487,0.3404704752,1.239534467,0.2801330809
1.691037563,0.0001860098831,0.3532874792,0.3404785786,1.239521814,0.2801372669
1.691057563,0.0001871561076,0.3532763104,0.340486682,1.23950916,0.2801414533
1.691077563,0.000188313589,0.3532651423,0.3404947851,1.239496505,0.2801456401
1.691097563,0.0001894821231,0.3532539734,0.3405028893,1.239483851,0.2801498267
1.691117563,0.0001906615085,0.3532428051,0.3405109932,1.239471196,0.2801540137
1.691137563,0.000191851547,0.3532316371,0.3405190974,1.23945854,0.280158201
1.691157563,0.0001930520437,0.3532204692,0.3405272018,1.239445884,0.2801623885
1.691177563,0.0001942628064,0.3532093015,0.3405353064,1.239433227,0.2801665761
1.691197563,0.0001954836464,0.3531981347,0.3405434107,1.23942057,0.2801707643
1.691217563,0.0001967143779,0.3531869667,0.3405515163,1.239407913,0.2801749521
1.691237563,0.0001979548183,0.3531757996,0.3405596215,1.239395256,0.2801791404
1.691257563,0.000199204788,0.3531646327,0.3405677269,1.239382598,0.280183329
1.691277563,0.0002004641108,0.353153466,0.3405758326,1.239369939,0.2801875177
1.691297563,0.0002017326132,0.3531422995,0.3405839385,1.23935728,0.2801917067
1.691317563,0.000203010125,0.3531311331,0.3405920445,1.239344621,0.2801958959
1.691337563,0.000204296479,0.353119967,0.3406001508,1.239331961,0.2802000853
1.691357563,0.0002055915111,0.353108801,0.3406082573,1.239319301,0.2802042749
1.691377563,0.0002068950601,0.3530976353,0.340616364,1.239306641,0.2802084647
1.691397563,0.0002082069677,0.3530864697,0.3406244709,1.23929398,0.2802126547
1.691417563,0.0002095270789,0.3530753043,0.3406325781,1.239281319,0.280216845
1.691437563,0.0002108552412,0.3530641391,0.3406406854,1.239268657,0.2802210354
1.691457563,0.0002121913052,0.3530529741,0.340648793,1.239255995,0.2802252261
1.691477563,0.0002135351243,0.3530418093,0.3406569007,1.239243333,0.280229417
1.691497563,0.0002148865548,0.3530306447,0.3406650087,1.23923067,0.2802336081
1.691517563,0.0002162454557,0.3530194802,0.3406731169,1.239218006,0.2802377994
1.691537563,0.0002176116887,0.353008316,0.3406812253,1.239205343,0.2802419909
1.691557563,0.0002189851184,0.352997152,0.3406893339,1.239192679,0.2802461827
1.691577563,0.0002203656118,0.3529859881,0.3406974427,1.239180014,0.2802503747
1.691597563,0.0002217530387,0.3529748244,0.3407055517,1.239167349,0.2802545668
1.691617563,0.0002231472714,0.3529636609,0.340713661,1.239154684,0.2802587592
1.691637563,0.0002245481848,0.3529524976,0.3407217705,1.239142019,0.2802629518
1.691657563,0.0002259556564,0.3529413346,0.3407298801,1.239129352,0.2802671446
1.691677563,0.0002273695658,0.3529301716,0.34073799,1.239116686,0.2802713377
1.691697563,0.0002287897955,0.3529190089,0.3407461001,1.239104019,0.2802755309
1.691717563,0.0002302162301,0.3529078464,0.3407542104,1.239091352,0.2802797244
1.691737563,0.0002316487565,0.3528966841,0.3407623209,1.239078684,0.280283918
1.691757563,0.000233087264,0.3528855219,0.3407704316,1.239066016,0.2802881119
1.691777563,0.0002345316442,0.3528743599,0.3407785426,1.239053348,0.280292306
1.691797563,0.0002359817907,0.3528631982,0.3407866537,1.239040679,0.2802965004
1.692297563,0.0002738392922,0.3525842157,0.3409895011,1.238723828,0.2804014279
1.692797563,0.0003140212579,0.3523053518,0.341192481,1.238406727,0.2805064895
1.693297563,0.0003557573018,0.3520266059,0.3413955937,1.238089378,0.2806116851
1.693797563,0.0003985741881,0.3517479775,0.3415988397,1.237771779,0.2807170147
1.694297563,0.0004421713014,0.3514694664,0.3418022193,1.237453931,0.2808224785
1.694797563,0.0004863509515,0.351191072,0.342005733,1.237135835,0.2809280765
1.695297563,0.0005309788494,0.350912794,0.3422093809,1.23681749,0.2810338088
1.695797563,0.000575961067,0.3506346322,0.3424131634,1.236498898,0.2811396755
1.696297563,0.0006212301774,0.350356586,0.3426170811,1.236180057,0.2812456766
1.696797563,0.0006667366527,0.3500786548,0.3428211342,1.235860968,0.2813518121
1.697297563,0.0007124433665,0.3498008386,0.343025323,1.235541632,0.2814580822
1.697797563,0.0007583219825,0.3495231369,0.3432296479,1.235222049,0.2815644869
1.698297563,0.0008043505246,0.3492455493,0.3434341092,1.234902218,0.2816710264
1.698797563,0.0008505117039,0.3489680755,0.3436387074,1.234582141,0.2817777007
1.699297563,0.0008967917434,0.3486907152,0.3438434425,1.234261816,0.2818845099
1.699797563,0.0009431795372,0.3484134679,0.3440483151,1.233941244,0.281991454
1.700297563,0.0009896660394,0.3481363336,0.3442533253,1.233620426,0.2820985333
1.700797563,0.001036243811,0.3478593115,0.3444584737,1.233299362,0.2822057477
1.701297563,0.001082906684,0.3475824016,0.3446637604,1.232978051,0.2823130974
1.701797563,0.001129649501,0.3473056038,0.3448691856,1.232656493,0.2824205826
1.702297563,0.00117646792,0.3470289179,0.3450747495,1.232334689,0.2825282034
1.702797563,0.001223358264,0.346752343,0.3452804527,1.232012639,0.2826359597
1.703297563,0.001270317395,0.3464758604,0.3454863102,1.231690364,0.2827438444
1.703797563,0.001317342625,0.346199501,0.3456922977,1.231367828,0.2828518699
1.704297563,0.001364431637,0.3459232515,0.3458984257,1.231045048,0.282960031
1.704797563,0.001411582427,0.3456471107,0.3461046952,1.230722023,0.2830683277
1.705297563,0.001458793249,0.3453710785,0.3463111065,1.230398754,0.28317676
1.705797563,0.001506062583,0.3450951547,0.3465176596,1.230075241,0.2832853282
1.706297563,0.001553389095,0.3448193383,0.3467243556,1.229751484,0.283394032
1.706797563,0.001600771612,0.3445436294,0.3469311943,1.229427483,0.2835028717
1.707297563,0.001648209101,0.3442680277,0.3471381761,1.229103239,0.2836118474
1.707797563,0.001695700647,0.3439925323,0.3473453019,1.228778751,0.2837209591
1.708297563,0.00174324544,0.3437171434,0.3475525714,1.228454021,0.2838302069
1.708797563,0.001790842758,0.3434418601,0.3477599856,1.228129047,0.2839395908
1.709297563,0.001838491961,0.3431666825,0.3479675443,1.227803831,0.284049111
1.709797563,0.001886192474,0.3428916098,0.3481752483,1.227478372,0.2841587674
