experiment_id,N_params_B,D_tokens_B,Q_score,val_loss,data_type,prediction_v1,residual_observed_minus_predicted,ND,D_over_N
N0.07_D0500_Q0.1,0.07,500,0.1,0.9621,calibrated,3.108133614,-2.146033614,35,7142.857143
N0.07_D0500_Q0.2,0.07,500,0.2,1.1948,calibrated,3.0721974,-1.8773974,35,7142.857143
N0.07_D0500_Q0.3,0.07,500,0.3,1.3491,calibrated,3.036219435,-1.687119435,35,7142.857143
N0.07_D0500_Q0.4,0.07,500,0.4,1.5406,calibrated,3.000193654,-1.459593654,35,7142.857143
N0.07_D0500_Q0.5,0.07,500,0.5,1.7858,calibrated,2.96411194,-1.17831194,35,7142.857143
N0.07_D0500_Q0.6,0.07,500,0.6,1.9945,calibrated,2.927962849,-0.9334628486,35,7142.857143
N0.07_D0500_Q0.7,0.07,500,0.7,2.1765,calibrated,2.89172903,-0.7152290296,35,7142.857143
N0.07_D0500_Q0.8,0.07,500,0.8,2.4124,calibrated,2.855380949,-0.4429809492,35,7142.857143
N0.07_D0500_Q0.9,0.07,500,0.9,2.6083,calibrated,2.818856191,-0.2105561909,35,7142.857143
N0.07_D0500_Q0.95,0.07,500,0.95,2.7105,calibrated,2.800476154,-0.08997615441,35,7142.857143
N0.07_D0500_Q1.0,0.07,500,1,2.8055,calibrated,2.781857751,0.02364224869,35,7142.857143
N0.07_D1000_Q0.05,0.07,1000,0.05,0.8471,calibrated,3.087673054,-2.240573054,70,14285.71429
N0.07_D1000_Q0.1,0.07,1000,0.1,0.9414,calibrated,3.069719095,-2.128319095,70,14285.71429
N0.07_D1000_Q0.2,0.07,1000,0.2,1.1388,calibrated,3.033782881,-1.894982881,70,14285.71429
N0.07_D1000_Q0.3,0.07,1000,0.3,1.3853,calibrated,2.997804916,-1.612504916,70,14285.71429
N0.07_D1000_Q0.4,0.07,1000,0.4,1.5663,calibrated,2.961779135,-1.395479135,70,14285.71429
N0.07_D1000_Q0.5,0.07,1000,0.5,1.7504,calibrated,2.925697421,-1.175297421,70,14285.71429
N0.07_D1000_Q0.6,0.07,1000,0.6,1.9928,calibrated,2.889548329,-0.8967483295,70,14285.71429
N0.07_D1000_Q0.7,0.07,1000,0.7,2.1482,calibrated,2.85331451,-0.7051145105,70,14285.71429
N0.07_D1000_Q0.8,0.07,1000,0.8,2.3195,calibrated,2.81696643,-0.49746643,70,14285.71429
N0.07_D1000_Q0.9,0.07,1000,0.9,2.523,calibrated,2.780441672,-0.2574416718,70,14285.71429
N0.07_D1000_Q0.95,0.07,1000,0.95,2.6048,calibrated,2.762061635,-0.1572616353,70,14285.71429
N0.07_D1000_Q1.0,0.07,1000,1,2.7431,calibrated,2.743443232,-0.0003432321735,70,14285.71429
N0.07_D2000_Q0.05,0.07,2000,0.05,0.8539,calibrated,3.056032528,-2.202132528,140,28571.42857
N0.07_D2000_Q0.1,0.07,2000,0.1,0.9243,calibrated,3.038078569,-2.113778569,140,28571.42857
N0.07_D2000_Q0.2,0.07,2000,0.2,1.1409,calibrated,3.002142356,-1.861242356,140,28571.42857
N0.07_D2000_Q0.3,0.07,2000,0.3,1.3364,calibrated,2.96616439,-1.62976439,140,28571.42857
N0.07_D2000_Q0.4,0.07,2000,0.4,1.5027,calibrated,2.93013861,-1.42743861,140,28571.42857
N0.07_D2000_Q0.5,0.07,2000,0.5,1.7429,calibrated,2.894056895,-1.151156895,140,28571.42857
N0.07_D2000_Q0.6,0.07,2000,0.6,1.9258,calibrated,2.857907804,-0.9321078038,140,28571.42857
N0.07_D2000_Q0.7,0.07,2000,0.7,2.1457,calibrated,2.821673985,-0.6759739849,140,28571.42857
N0.07_D2000_Q0.8,0.07,2000,0.8,2.3261,calibrated,2.785325904,-0.4592259044,140,28571.42857
N0.07_D2000_Q0.9,0.07,2000,0.9,2.5085,calibrated,2.748801146,-0.2403011462,140,28571.42857
N0.07_D2000_Q0.95,0.07,2000,0.95,2.5794,calibrated,2.73042111,-0.1510211097,140,28571.42857
N0.07_D2000_Q1.0,0.07,2000,1,2.7374,calibrated,2.711802707,0.02559729343,140,28571.42857
N0.16_D0005_Q0.05,0.16,5,0.05,0.8104,calibrated,3.484552064,-2.674152064,0.8,31.25
N0.16_D0005_Q0.1,0.16,5,0.1,0.9548,calibrated,3.466598104,-2.511798104,0.8,31.25
N0.16_D0005_Q0.2,0.16,5,0.2,1.1752,calibrated,3.430661891,-2.255461891,0.8,31.25
N0.16_D0005_Q0.3,0.16,5,0.3,1.4476,calibrated,3.394683926,-1.947083926,0.8,31.25
N0.16_D0005_Q0.4,0.16,5,0.4,1.6751,calibrated,3.358658145,-1.683558145,0.8,31.25
N0.16_D0005_Q0.5,0.16,5,0.5,1.9108,calibrated,3.322576431,-1.411776431,0.8,31.25
N0.16_D0005_Q0.6,0.16,5,0.6,2.1591,calibrated,3.286427339,-1.127327339,0.8,31.25
N0.16_D0005_Q0.7,0.16,5,0.7,2.4836,calibrated,3.25019352,-0.7665935204,0.8,31.25
N0.16_D0005_Q0.8,0.16,5,0.8,2.5952,calibrated,3.21384544,-0.6186454399,0.8,31.25
N0.16_D0005_Q0.9,0.16,5,0.9,2.8737,calibrated,3.177320682,-0.3036206817,0.8,31.25
N0.16_D0005_Q0.95,0.16,5,0.95,2.9535,calibrated,3.158940645,-0.2054406452,0.8,31.25
N0.16_D0005_Q1.0,0.16,5,1,3.1013,calibrated,3.140322242,-0.03902224206,0.8,31.25
N0.16_D0010_Q0.05,0.16,10,0.05,0.7726,calibrated,3.345155632,-2.572555632,1.6,62.5
N0.16_D0010_Q0.95,0.16,10,0.95,2.9363,calibrated,3.019544213,-0.08324421299,1.6,62.5
N0.16_D0020_Q0.05,0.16,20,0.05,0.7755,calibrated,3.230340284,-2.454840284,3.2,125
N0.16_D0020_Q0.1,0.16,20,0.1,0.8548,calibrated,3.212386324,-2.357586324,3.2,125
N0.16_D0020_Q0.2,0.16,20,0.2,1.0782,calibrated,3.176450111,-2.098250111,3.2,125
N0.16_D0020_Q0.3,0.16,20,0.3,1.3357,calibrated,3.140472145,-1.804772145,3.2,125
N0.16_D0020_Q0.4,0.16,20,0.4,1.5464,calibrated,3.104446365,-1.558046365,3.2,125
N0.16_D0020_Q0.5,0.16,20,0.5,1.7183,calibrated,3.068364651,-1.350064651,3.2,125
N0.16_D0020_Q0.6,0.16,20,0.6,1.9486,calibrated,3.032215559,-1.083615559,3.2,125
N0.16_D0020_Q0.7,0.16,20,0.7,2.2366,calibrated,2.99598174,-0.7593817402,3.2,125
N0.16_D0020_Q0.8,0.16,20,0.8,2.4177,calibrated,2.95963366,-0.5419336598,3.2,125
N0.16_D0020_Q0.9,0.16,20,0.9,2.6607,calibrated,2.923108902,-0.2624089015,3.2,125
N0.16_D0020_Q0.95,0.16,20,0.95,2.8283,calibrated,2.904728865,-0.07642886501,3.2,125
N0.16_D0020_Q1.0,0.16,20,1,2.8913,calibrated,2.886110462,0.00518953809,3.2,125
N0.16_D0050_Q0.05,0.16,50,0.05,0.7379,calibrated,3.109028443,-2.371128443,8,312.5
N0.16_D0050_Q0.95,0.16,50,0.95,2.6024,calibrated,2.783417024,-0.1810170241,8,312.5
N0.16_D0100_Q0.05,0.16,100,0.05,0.7109,calibrated,3.035851623,-2.324951623,16,625
N0.16_D0100_Q0.1,0.16,100,0.1,0.8001,calibrated,3.017897664,-2.217797664,16,625
N0.16_D0100_Q0.2,0.16,100,0.2,1.0158,calibrated,2.98196145,-1.96616145,16,625
N0.16_D0100_Q0.3,0.16,100,0.3,1.2359,calibrated,2.945983485,-1.710083485,16,625
N0.16_D0100_Q0.4,0.16,100,0.4,1.4134,calibrated,2.909957705,-1.496557705,16,625
N0.16_D0100_Q0.5,0.16,100,0.5,1.6514,calibrated,2.87387599,-1.22247599,16,625
N0.16_D0100_Q0.6,0.16,100,0.6,1.8608,calibrated,2.837726899,-0.9769268987,16,625
N0.16_D0100_Q0.7,0.16,100,0.7,2.0787,calibrated,2.80149308,-0.7227930798,16,625
N0.16_D0100_Q0.8,0.16,100,0.8,2.2318,calibrated,2.765144999,-0.5333449993,16,625
N0.16_D0100_Q0.9,0.16,100,0.9,2.4932,calibrated,2.728620241,-0.2354202411,16,625
N0.16_D0100_Q0.95,0.16,100,0.95,2.6163,calibrated,2.710240205,-0.09394020457,16,625
N0.16_D0100_Q1.0,0.16,100,1,2.678,calibrated,2.691621801,-0.01362180147,16,625
N0.16_D0150_Q0.05,0.16,150,0.05,0.6932,calibrated,2.999183739,-2.305983739,24,937.5
N0.16_D0150_Q0.95,0.16,150,0.95,2.5091,calibrated,2.67357232,-0.1644723202,24,937.5
N0.16_D0300_Q0.05,0.16,300,0.05,0.6809,calibrated,2.945376869,-2.264476869,48,1875
N0.16_D0300_Q0.95,0.16,300,0.95,2.4941,calibrated,2.619765451,-0.1256654507,48,1875
N0.16_D0500_Q0.05,0.16,500,0.05,0.6974,calibrated,2.911895533,-2.214495533,80,3125
N0.16_D0500_Q0.1,0.16,500,0.1,0.7769,calibrated,2.893941574,-2.117041574,80,3125
N0.16_D0500_Q0.2,0.16,500,0.2,0.9664,calibrated,2.85800536,-1.89160536,80,3125
N0.16_D0500_Q0.3,0.16,500,0.3,1.1736,calibrated,2.822027395,-1.648427395,80,3125
N0.16_D0500_Q0.4,0.16,500,0.4,1.351,calibrated,2.786001615,-1.435001615,80,3125
N0.16_D0500_Q0.5,0.16,500,0.5,1.5896,calibrated,2.7499199,-1.1603199,80,3125
N0.16_D0500_Q0.6,0.16,500,0.6,1.7639,calibrated,2.713770809,-0.9498708088,80,3125
N0.16_D0500_Q0.7,0.16,500,0.7,1.9757,calibrated,2.67753699,-0.7018369899,80,3125
N0.16_D0500_Q0.8,0.16,500,0.8,2.1303,calibrated,2.641188909,-0.5108889094,80,3125
N0.16_D0500_Q0.9,0.16,500,0.9,2.3645,calibrated,2.604664151,-0.2401641512,80,3125
N0.16_D0500_Q0.95,0.16,500,0.95,2.4958,calibrated,2.586284115,-0.09048411465,80,3125
N0.16_D0500_Q1.0,0.16,500,1,2.5293,calibrated,2.567665712,-0.03836571154,80,3125
N0.16_D1000_Q0.05,0.16,1000,0.05,0.6787,calibrated,2.873481014,-2.194781014,160,6250
N0.16_D1000_Q0.1,0.16,1000,0.1,0.7577,calibrated,2.855527055,-2.097827055,160,6250
N0.16_D1000_Q0.2,0.16,1000,0.2,0.9466,calibrated,2.819590841,-1.872990841,160,6250
N0.16_D1000_Q0.3,0.16,1000,0.3,1.1493,calibrated,2.783612876,-1.634312876,160,6250
N0.16_D1000_Q0.4,0.16,1000,0.4,1.3709,calibrated,2.747587096,-1.376687096,160,6250
N0.16_D1000_Q0.5,0.16,1000,0.5,1.5609,calibrated,2.711505381,-1.150605381,160,6250
N0.16_D1000_Q0.6,0.16,1000,0.6,1.7116,calibrated,2.67535629,-0.9637562897,160,6250
N0.16_D1000_Q0.7,0.16,1000,0.7,2.0044,calibrated,2.639122471,-0.6347224707,160,6250
N0.16_D1000_Q0.8,0.16,1000,0.8,2.0871,calibrated,2.60277439,-0.5156743903,160,6250
N0.16_D1000_Q0.9,0.16,1000,0.9,2.3054,calibrated,2.566249632,-0.260849632,160,6250
N0.16_D1000_Q0.95,0.16,1000,0.95,2.4884,calibrated,2.547869596,-0.05946959551,160,6250
N0.16_D1000_Q1.0,0.16,1000,1,2.5056,calibrated,2.529251192,-0.02365119241,160,6250
N0.16_D2000_Q0.05,0.16,2000,0.05,0.6532,calibrated,2.841840488,-2.188640488,320,12500
N0.16_D2000_Q0.1,0.16,2000,0.1,0.7317,calibrated,2.823886529,-2.092186529,320,12500
N0.16_D2000_Q0.2,0.16,2000,0.2,0.9418,calibrated,2.787950316,-1.846150316,320,12500
N0.16_D2000_Q0.3,0.16,2000,0.3,1.1205,calibrated,2.75197235,-1.63147235,320,12500
N0.16_D2000_Q0.4,0.16,2000,0.4,1.335,calibrated,2.71594657,-1.38094657,320,12500
N0.16_D2000_Q0.5,0.16,2000,0.5,1.5166,calibrated,2.679864855,-1.163264855,320,12500
N0.16_D2000_Q0.6,0.16,2000,0.6,1.6953,calibrated,2.643715764,-0.9484157641,320,12500
N0.16_D2000_Q0.7,0.16,2000,0.7,1.9296,calibrated,2.607481945,-0.6778819451,320,12500
N0.16_D2000_Q0.8,0.16,2000,0.8,2.0992,calibrated,2.571133865,-0.4719338646,320,12500
N0.16_D2000_Q0.9,0.16,2000,0.9,2.246,calibrated,2.534609106,-0.2886091064,320,12500
N0.16_D2000_Q0.95,0.16,2000,0.95,2.3649,calibrated,2.51622907,-0.1513290699,320,12500
N0.16_D2000_Q1.0,0.16,2000,1,2.4771,calibrated,2.497610667,-0.0205106668,320,12500
N0.41_D0005_Q0.05,0.41,5,0.05,0.622,calibrated,3.303845907,-2.681845907,2.05,12.19512195
N0.41_D0005_Q0.1,0.41,5,0.1,0.7497,calibrated,3.285891948,-2.536191948,2.05,12.19512195
N0.41_D0005_Q0.2,0.41,5,0.2,1.0023,calibrated,3.249955734,-2.247655734,2.05,12.19512195
N0.41_D0005_Q0.3,0.41,5,0.3,1.2344,calibrated,3.213977769,-1.979577769,2.05,12.19512195
N0.41_D0005_Q0.4,0.41,5,0.4,1.4755,calibrated,3.177951988,-1.702451988,2.05,12.19512195
N0.41_D0005_Q0.5,0.41,5,0.5,1.6916,calibrated,3.141870274,-1.450270274,2.05,12.19512195
N0.41_D0005_Q0.6,0.41,5,0.6,1.98,calibrated,3.105721182,-1.125721182,2.05,12.19512195
N0.41_D0005_Q0.7,0.41,5,0.7,2.2447,calibrated,3.069487364,-0.8247873635,2.05,12.19512195
N0.41_D0005_Q0.8,0.41,5,0.8,2.4492,calibrated,3.033139283,-0.5839392831,2.05,12.19512195
N0.41_D0005_Q0.9,0.41,5,0.9,2.6707,calibrated,2.996614525,-0.3259145248,2.05,12.19512195
N0.41_D0005_Q0.95,0.41,5,0.95,2.861,calibrated,2.978234488,-0.1172344883,2.05,12.19512195
N0.41_D0005_Q1.0,0.41,5,1,3.0229,calibrated,2.959616085,0.06328391479,2.05,12.19512195
N0.41_D0010_Q0.05,0.41,10,0.05,0.6007,calibrated,3.164449475,-2.563749475,4.1,24.3902439
N0.41_D0010_Q0.95,0.41,10,0.95,2.7299,calibrated,2.838838056,-0.1089380561,4.1,24.3902439
N0.41_D0020_Q0.05,0.41,20,0.05,0.581,calibrated,3.049634127,-2.468634127,8.2,48.7804878
N0.41_D0020_Q0.1,0.41,20,0.1,0.695,calibrated,3.031680167,-2.336680167,8.2,48.7804878
N0.41_D0020_Q0.2,0.41,20,0.2,0.9131,calibrated,2.995743954,-2.082643954,8.2,48.7804878
N0.41_D0020_Q0.3,0.41,20,0.3,1.1552,calibrated,2.959765989,-1.804565989,8.2,48.7804878
N0.41_D0020_Q0.4,0.41,20,0.4,1.3143,calibrated,2.923740208,-1.609440208,8.2,48.7804878
N0.41_D0020_Q0.5,0.41,20,0.5,1.5963,calibrated,2.887658494,-1.291358494,8.2,48.7804878
N0.41_D0020_Q0.6,0.41,20,0.6,1.7915,calibrated,2.851509402,-1.060009402,8.2,48.7804878
N0.41_D0020_Q0.7,0.41,20,0.7,2.0338,calibrated,2.815275583,-0.7814755834,8.2,48.7804878
N0.41_D0020_Q0.8,0.41,20,0.8,2.246,calibrated,2.778927503,-0.5329275029,8.2,48.7804878
N0.41_D0020_Q0.9,0.41,20,0.9,2.474,calibrated,2.742402745,-0.2684027447,8.2,48.7804878
N0.41_D0020_Q0.95,0.41,20,0.95,2.5494,calibrated,2.724022708,-0.1746227082,8.2,48.7804878
N0.41_D0020_Q1.0,0.41,20,1,2.7188,calibrated,2.705404305,0.01339569494,8.2,48.7804878
N0.41_D0050_Q0.05,0.41,50,0.05,0.536,calibrated,2.928322286,-2.392322286,20.5,121.9512195
N0.41_D0050_Q0.95,0.41,50,0.95,2.4497,calibrated,2.602710867,-0.1530108672,20.5,121.9512195
N0.41_D0100_Q0.05,0.41,100,0.05,0.535,calibrated,2.855145466,-2.320145466,41,243.902439
N0.41_D0100_Q0.1,0.41,100,0.1,0.6432,calibrated,2.837191507,-2.193991507,41,243.902439
N0.41_D0100_Q0.2,0.41,100,0.2,0.8168,calibrated,2.801255294,-1.984455294,41,243.902439
N0.41_D0100_Q0.3,0.41,100,0.3,1.0559,calibrated,2.765277328,-1.709377328,41,243.902439
N0.41_D0100_Q0.4,0.41,100,0.4,1.2365,calibrated,2.729251548,-1.492751548,41,243.902439
N0.41_D0100_Q0.5,0.41,100,0.5,1.477,calibrated,2.693169833,-1.216169833,41,243.902439
N0.41_D0100_Q0.6,0.41,100,0.6,1.6841,calibrated,2.657020742,-0.9729207419,41,243.902439
N0.41_D0100_Q0.7,0.41,100,0.7,1.8979,calibrated,2.620786923,-0.7228869229,41,243.902439
N0.41_D0100_Q0.8,0.41,100,0.8,2.0213,calibrated,2.584438842,-0.5631388425,41,243.902439
N0.41_D0100_Q0.9,0.41,100,0.9,2.2729,calibrated,2.547914084,-0.2750140842,41,243.902439
N0.41_D0100_Q0.95,0.41,100,0.95,2.4488,calibrated,2.529534048,-0.08073404772,41,243.902439
N0.41_D0100_Q1.0,0.41,100,1,2.488,calibrated,2.510915645,-0.02291564461,41,243.902439
N0.41_D0150_Q0.05,0.41,150,0.05,0.5231,calibrated,2.818477582,-2.295377582,61.5,365.8536585
N0.41_D0150_Q0.95,0.41,150,0.95,2.3801,calibrated,2.492866163,-0.1127661634,61.5,365.8536585
N0.41_D0300_Q0.05,0.41,300,0.05,0.5209,calibrated,2.764670712,-2.243770712,123,731.7073171
N0.41_D0300_Q0.95,0.41,300,0.95,2.3692,calibrated,2.439059294,-0.06985929384,123,731.7073171
N0.41_D0500_Q0.05,0.41,500,0.05,0.5057,calibrated,2.731189376,-2.225489376,205,1219.512195
N0.41_D0500_Q0.1,0.41,500,0.1,0.6047,calibrated,2.713235417,-2.108535417,205,1219.512195
N0.41_D0500_Q0.2,0.41,500,0.2,0.8045,calibrated,2.677299204,-1.872799204,205,1219.512195
N0.41_D0500_Q0.3,0.41,500,0.3,1.0122,calibrated,2.641321238,-1.629121238,205,1219.512195
N0.41_D0500_Q0.4,0.41,500,0.4,1.2031,calibrated,2.605295458,-1.402195458,205,1219.512195
N0.41_D0500_Q0.5,0.41,500,0.5,1.427,calibrated,2.569213743,-1.142213743,205,1219.512195
N0.41_D0500_Q0.6,0.41,500,0.6,1.5817,calibrated,2.533064652,-0.951364652,205,1219.512195
N0.41_D0500_Q0.7,0.41,500,0.7,1.7811,calibrated,2.496830833,-0.715730833,205,1219.512195
N0.41_D0500_Q0.8,0.41,500,0.8,1.9863,calibrated,2.460482753,-0.4741827525,205,1219.512195
N0.41_D0500_Q0.9,0.41,500,0.9,2.1829,calibrated,2.423957994,-0.2410579943,205,1219.512195
N0.41_D0500_Q0.95,0.41,500,0.95,2.3182,calibrated,2.405577958,-0.08737795779,205,1219.512195
N0.41_D0500_Q1.0,0.41,500,1,2.3631,calibrated,2.386959555,-0.02385955469,205,1219.512195
N0.41_D1000_Q0.05,0.41,1000,0.05,0.5,calibrated,2.692774857,-2.192774857,410,2439.02439
N0.41_D1000_Q0.1,0.41,1000,0.1,0.5885,calibrated,2.674820898,-2.086320898,410,2439.02439
N0.41_D1000_Q0.2,0.41,1000,0.2,0.7592,calibrated,2.638884685,-1.879684685,410,2439.02439
N0.41_D1000_Q0.3,0.41,1000,0.3,0.9951,calibrated,2.602906719,-1.607806719,410,2439.02439
N0.41_D1000_Q0.4,0.41,1000,0.4,1.2144,calibrated,2.566880939,-1.352480939,410,2439.02439
N0.41_D1000_Q0.5,0.41,1000,0.5,1.3941,calibrated,2.530799224,-1.136699224,410,2439.02439
N0.41_D1000_Q0.6,0.41,1000,0.6,1.5743,calibrated,2.494650133,-0.9203501328,410,2439.02439
N0.41_D1000_Q0.7,0.41,1000,0.7,1.759,calibrated,2.458416314,-0.6994163139,410,2439.02439
N0.41_D1000_Q0.8,0.41,1000,0.8,1.9279,calibrated,2.422068233,-0.4941682334,410,2439.02439
N0.41_D1000_Q0.9,0.41,1000,0.9,2.1495,calibrated,2.385543475,-0.2360434752,410,2439.02439
N0.41_D1000_Q0.95,0.41,1000,0.95,2.2212,calibrated,2.367163439,-0.1459634387,410,2439.02439
N0.41_D1000_Q1.0,0.41,1000,1,2.4128,calibrated,2.348545036,0.06425496444,410,2439.02439
N0.41_D2000_Q0.05,0.41,2000,0.05,0.5,calibrated,2.661134332,-2.161134332,820,4878.04878
N0.41_D2000_Q0.1,0.41,2000,0.1,0.5802,calibrated,2.643180372,-2.062980372,820,4878.04878
N0.41_D2000_Q0.2,0.41,2000,0.2,0.7774,calibrated,2.607244159,-1.829844159,820,4878.04878
N0.41_D2000_Q0.3,0.41,2000,0.3,0.9982,calibrated,2.571266193,-1.573066193,820,4878.04878
N0.41_D2000_Q0.4,0.41,2000,0.4,1.2122,calibrated,2.535240413,-1.323040413,820,4878.04878
N0.41_D2000_Q0.5,0.41,2000,0.5,1.3202,calibrated,2.499158699,-1.178958699,820,4878.04878
N0.41_D2000_Q0.6,0.41,2000,0.6,1.5758,calibrated,2.463009607,-0.8872096072,820,4878.04878
N0.41_D2000_Q0.7,0.41,2000,0.7,1.7331,calibrated,2.426775788,-0.6936757883,820,4878.04878
N0.41_D2000_Q0.8,0.41,2000,0.8,1.9375,calibrated,2.390427708,-0.4529277078,820,4878.04878
N0.41_D2000_Q0.9,0.41,2000,0.9,2.0973,calibrated,2.35390295,-0.2566029496,820,4878.04878
N0.41_D2000_Q0.95,0.41,2000,0.95,2.2225,calibrated,2.335522913,-0.1130229131,820,4878.04878
N0.41_D2000_Q1.0,0.41,2000,1,2.3248,calibrated,2.31690451,0.007895490051,820,4878.04878
N0.7_D0005_Q0.05,0.7,5,0.05,0.5148,calibrated,3.224143473,-2.709343473,3.5,7.142857143
N0.7_D0005_Q0.1,0.7,5,0.1,0.651,calibrated,3.206189513,-2.555189513,3.5,7.142857143
N0.7_D0005_Q0.2,0.7,5,0.2,0.8807,calibrated,3.1702533,-2.2895533,3.5,7.142857143
N0.7_D0005_Q0.3,0.7,5,0.3,1.1486,calibrated,3.134275334,-1.985675334,3.5,7.142857143
N0.7_D0005_Q0.4,0.7,5,0.4,1.3678,calibrated,3.098249554,-1.730449554,3.5,7.142857143
N0.7_D0005_Q0.5,0.7,5,0.5,1.6627,calibrated,3.062167839,-1.399467839,3.5,7.142857143
N0.7_D0005_Q0.6,0.7,5,0.6,1.8832,calibrated,3.026018748,-1.142818748,3.5,7.142857143
