replicate,E,A,alpha,B,beta,G,kappa
91,1.689833265,0.3540374329,0.3399342101,1.240207296,0.2799172587,0.3621753293,0.9907322757
92,1.689794213,0.353876525,0.3400806542,1.240396883,0.2798305961,0.3621679879,0.9908007062
93,1.689890027,0.3539768942,0.3399745318,1.240192919,0.2799172833,0.3621772984,0.9907138026
94,1.689894194,0.3539757343,0.3399794601,1.240225194,0.2799283287,0.3621789997,0.9906979445
95,1.689856443,0.3539530718,0.3399899995,1.240230913,0.2798856965,0.3621755366,0.9907302675
96,1.689873714,0.353908553,0.3400544864,1.240314815,0.2798885008,0.3621699219,0.9907827085
97,1.689818181,0.3540147845,0.3399497901,1.240270938,0.2799028495,0.3621721906,0.990761498
98,1.689818271,0.3538632858,0.3400865648,1.240393181,0.2798352812,0.3621658886,0.9908203471
99,1.689751067,0.3538778448,0.3400853787,1.240411893,0.2798083135,0.3621698918,0.9907829384
100,1.689749112,0.3541440501,0.3398660191,1.24023392,0.27993757,0.3621809688,0.9906796023
101,1.689788675,0.3539982663,0.3399616923,1.240316117,0.2798829017,0.3621731883,0.9907521545
102,1.689809263,0.3539329334,0.3400262037,1.240322334,0.279861348,0.3621723446,0.9907600878
103,1.689842634,0.3539354187,0.34000226,1.240268004,0.2798742429,0.3621768429,0.9907181204
104,1.689865586,0.3538663088,0.3400937993,1.240336821,0.2798637042,0.362169922,0.9907826301
105,1.689882335,0.3539184395,0.3400443652,1.240307279,0.2798979811,0.3621697187,0.9907844815
106,1.689864817,0.3539640823,0.33998279,1.240254662,0.2799040243,0.3621767096,0.9907193918
107,1.689778487,0.353991458,0.3399682413,1.240298574,0.2798697241,0.3621741859,0.990742872
108,1.689748765,0.3539836938,0.3399793529,1.240363521,0.2798606376,0.3621758151,0.990727688
109,1.689800974,0.3540085382,0.3399553503,1.240278215,0.2798911024,0.3621742301,0.9907424611
110,1.68972372,0.3539725325,0.3399817321,1.240360424,0.2798330843,0.3621736519,0.9907478669
111,1.689811034,0.353885712,0.3400709012,1.240423303,0.279851967,0.3621678491,0.9908020308
112,1.689736039,0.3540144254,0.3399564107,1.240271651,0.2798572066,0.3621810024,0.9906793265
113,1.689742781,0.3539792398,0.3399661462,1.240328234,0.2798443656,0.3621767899,0.9907186187
114,1.689890126,0.3538770078,0.3400771253,1.240347144,0.2798851964,0.3621681554,0.9907991089
115,1.689526712,0.3542432803,0.3398112229,1.24029808,0.2798785768,0.3621962281,0.9905372647
116,1.68985145,0.3539659014,0.3399869077,1.240251024,0.279898737,0.3621789926,0.9906980136
117,1.68971979,0.3539506937,0.3399925328,1.240405832,0.279824438,0.3621728405,0.9907554045
118,1.689794213,0.353876525,0.3400806542,1.240396883,0.2798305961,0.3621679879,0.9908007062
119,1.689838626,0.3538715562,0.3400858587,1.240398071,0.2798593021,0.3621691946,0.9907894152
120,1.689859206,0.3539796769,0.3399765574,1.240286761,0.2799161228,0.362175673,0.9907289805
121,1.689875585,0.3538811139,0.3400725116,1.240329427,0.2798730721,0.3621672045,0.9908079955
122,1.689870114,0.3539300427,0.3400081805,1.240251514,0.2798898851,0.3621801474,0.9906872244
123,1.689787843,0.3539522881,0.3400119813,1.240358356,0.2798610523,0.3621675181,0.9908050664
124,1.689850652,0.3538779166,0.3400764068,1.240379827,0.2798650617,0.3621675967,0.9908043292
125,1.689827312,0.3539913043,0.3399727256,1.240240658,0.2798971982,0.3621795851,0.9906924999
126,1.689780968,0.3540076911,0.3399608914,1.240238965,0.2798773441,0.3621814965,0.9906746925
127,1.689822838,0.3538899569,0.3400680577,1.240374612,0.2798531254,0.3621681317,0.9907993908
128,1.689778182,0.3539235313,0.3400342617,1.240399844,0.2798457902,0.3621675917,0.9908044174
129,1.689714468,0.3541403567,0.3398575518,1.240290224,0.2799078335,0.3621675556,0.9908047104
130,1.689812174,0.3538857894,0.3400709982,1.240435886,0.279855475,0.3621680082,0.99080052
131,1.689706561,0.3540081473,0.3399577282,1.24037984,0.27984605,0.3621723915,0.9907596255
132,1.689816864,0.3538787835,0.3400728013,1.240400015,0.2798447383,0.3621661045,0.9908182084
133,1.689823148,0.3540331576,0.3399347826,1.240232698,0.2799088683,0.3621717067,0.9907660116
134,1.689778963,0.3540165419,0.3399473012,1.240303619,0.279882713,0.3621711781,0.9907709728
135,1.689804037,0.354005995,0.3399602646,1.240274694,0.2798947327,0.3621774893,0.9907120614
136,1.689862716,0.3539294114,0.3400075874,1.240224073,0.2798762398,0.3621774754,0.9907121526
137,1.689857244,0.3538510484,0.3400950692,1.240342781,0.2798432903,0.3621650744,0.9908278328
138,1.68977785,0.35388251,0.3400703502,1.240457869,0.2798316208,0.3621654683,0.9908241876
139,1.689810479,0.3539648762,0.3399901283,1.24026454,0.2798721879,0.3621774502,0.9907123851
140,1.689763186,0.35399435,0.3399690929,1.240300539,0.2798651397,0.362177265,0.990714122
141,1.689753522,0.3539809815,0.3399767975,1.240293619,0.2798523626,0.3621810055,0.9906792763
142,1.689731885,0.3540147861,0.3399581479,1.240318612,0.2798604318,0.3621769087,0.990717478
143,1.689763648,0.3539901068,0.3399674465,1.240323978,0.2798613357,0.362171868,0.9907644963
144,1.689852918,0.3539528007,0.3399899045,1.240292562,0.2798958235,0.3621760101,0.9907258592
145,1.689824911,0.3539511716,0.3399921887,1.240280502,0.2798744317,0.3621766962,0.9907194947
146,1.689780531,0.3539962078,0.3399687057,1.240330665,0.2798818253,0.362174844,0.9907366798
147,1.689841468,0.3539227388,0.3400409295,1.240352544,0.279881353,0.3621691107,0.9907901996
148,1.689890093,0.3540016163,0.3399584785,1.240149079,0.2799226001,0.3621759217,0.9907266763
149,1.689741825,0.3540486795,0.3398132959,1.240293075,0.2798969527,0.3622179813,0.9903345121
150,1.68990355,0.353921686,0.3400148381,1.240233296,0.2799056262,0.3621819283,0.9906705712
151,1.689769483,0.3539373161,0.3400119783,1.240406766,0.2798508757,0.3621715568,0.990767421
152,1.689849807,0.3538750542,0.3400822183,1.240430075,0.2798757739,0.3621698928,0.990782899
153,1.689845698,0.3540318713,0.3399392745,1.240214314,0.2799256612,0.3621771391,0.9907153098
154,1.689682693,0.354046121,0.339935651,1.240358392,0.2798520203,0.3621747208,0.9907378693
155,1.689798948,0.3539944654,0.3399648905,1.240312423,0.2798875848,0.362173898,0.9907454965
156,1.689843605,0.3540234375,0.3399480316,1.240144027,0.2799096116,0.3621811654,0.9906777285
157,1.689855615,0.3539528303,0.3399914887,1.240249613,0.2798910362,0.3621776521,0.9907105722
158,1.689792574,0.3539236953,0.340036443,1.24034261,0.2798443422,0.3621672329,0.9908077763
159,1.689818194,0.3538914318,0.3400677621,1.240440845,0.2798651435,0.3621690771,0.9907906089
160,1.689789831,0.3539811135,0.3399731631,1.240350323,0.279879385,0.3621726337,0.9907573804
161,1.689802119,0.3539976372,0.3399665128,1.240344519,0.279899684,0.3621747556,0.9907375446
162,1.689777079,0.3539708874,0.3399856331,1.240304237,0.2798604555,0.3621767293,0.9907191529
163,1.689751067,0.3538778448,0.3400853787,1.240411893,0.2798083135,0.3621698925,0.9907829417
164,1.689813925,0.3540353898,0.3399348292,1.240228887,0.2799046339,0.3621727912,0.9907558931
165,1.689842795,0.3539566597,0.3399897649,1.240253306,0.2798863529,0.3621783691,0.9907038283
166,1.689880705,0.3539611954,0.3399870673,1.240229432,0.2799113615,0.3621797243,0.9906912129
167,1.68971979,0.3539506937,0.3399925328,1.240405832,0.279824438,0.3621728405,0.9907554045
168,1.689784439,0.3540171194,0.3399476224,1.240279666,0.2798853889,0.3621745265,0.9907396653
169,1.689457428,0.3542857665,0.3395142794,1.240275975,0.27986257,0.3622639372,0.9899063789
170,1.689926002,0.3539320775,0.3400070639,1.240151528,0.2799091636,0.3621803171,0.9906857288
171,1.689736246,0.3539459196,0.3400031317,1.240375002,0.2798310682,0.3621759924,0.9907260415
172,1.689732574,0.3540055989,0.339955547,1.240384884,0.2798590382,0.3621691045,0.990790269
173,1.689821109,0.3539900765,0.3399664799,1.240297385,0.2798975128,0.3621748887,0.9907363515
174,1.689808091,0.3539083792,0.3400496443,1.240415763,0.2798614468,0.3621681426,0.9907992216
175,1.689800361,0.353906441,0.3400564854,1.240405353,0.2798552453,0.362169297,0.9907885322
176,1.689777079,0.3539708874,0.3399856331,1.240304237,0.2798604555,0.3621767293,0.9907191529
177,1.689744338,0.3539563897,0.3399917509,1.240347926,0.2798328953,0.3621720951,0.9907623719
178,1.689790117,0.3539519462,0.3399999543,1.240304408,0.2798594032,0.3621782109,0.9907052976
179,1.689956193,0.3537166601,0.3401979605,1.240407557,0.279835258,0.3621571802,0.9909015482
180,1.689780309,0.354012352,0.3399522393,1.240301717,0.2798838643,0.3621740221,0.990744431
181,1.689887606,0.3538801877,0.3400776815,1.240370434,0.2798924244,0.3621699869,0.9907821071
182,1.689767422,0.3539454986,0.3400177323,1.240410633,0.2798528301,0.3621665619,0.9908139447
183,1.689683203,0.3541001869,0.3398850261,1.240382855,0.2798779731,0.3621648866,0.9908296367
184,1.689861455,0.3538901263,0.3400678583,1.240341926,0.2798732609,0.3621686442,0.9907945537
185,1.689844361,0.3538202421,0.340149996,1.240395007,0.2798308082,0.362162551,0.9908513317
186,1.689846483,0.353969907,0.3399801344,1.240270852,0.2798995303,0.3621775377,0.990711581
187,1.689785848,0.3539735857,0.3399791796,1.240320281,0.2798660196,0.362172357,0.9907599362
188,1.689818045,0.3539967076,0.3399690164,1.240297984,0.2799019611,0.3621757519,0.9907281628
189,1.689801632,0.3540563886,0.3399190326,1.240257781,0.2799125645,0.3621706266,0.9907760648
190,1.689690804,0.3540806118,0.339913844,1.240320131,0.2798770523,0.3621805756,0.9906832652
191,1.689771808,0.3538831743,0.3400803742,1.240450714,0.2798342473,0.3621711678,0.9907710272
192,1.689825263,0.3538886085,0.3400694676,1.240387194,0.2798566337,0.3621682207,0.990798479
193,1.689830483,0.3539150866,0.340045539,1.24037607,0.2798731773,0.3621684676,0.9907962461
194,1.689758526,0.3539508158,0.3399992407,1.240324601,0.2798390774,0.3621761161,0.9907247868
195,1.689867365,0.3540188759,0.3399516433,1.240221668,0.2799362473,0.3621789278,0.990698669
196,1.689794895,0.3540143369,0.3399506151,1.240286679,0.2798937923,0.3621760026,0.9907259366
197,1.689858456,0.3538792629,0.3400807862,1.240345794,0.2798675249,0.3621696986,0.9907847706
198,1.689832638,0.3539771502,0.3399805947,1.2402854,0.2798984534,0.3621773245,0.9907136173
199,1.689784395,0.354019473,0.3399529513,1.240287192,0.2798949214,0.3621798575,0.9906899215
