replicate,G,kappa,eta_N
87,0.3615166233,0.9849885164,0.1871021014
88,0.3659363105,0.9959464871,0.1510201516
89,0.36050116,1.004493684,0.1537645301
90,0.3569947445,1.010486094,0.1811238639
91,0.3564825708,0.9603926008,0.1618313805
92,0.3650971694,0.9755933168,0.1880065103
93,0.3586062781,0.979683261,0.1697882042
94,0.3525615806,0.9504029206,0.1556931657
95,0.35247729,0.996301869,0.1707474159
96,0.3594166387,0.9892387914,0.1648964443
97,0.3575008219,1.022201958,0.1704521476
98,0.3594397009,1.017789585,0.1627163976
99,0.3556824979,1.024348452,0.1633178601
100,0.3563287971,0.9771335035,0.1605711409
101,0.3578377124,0.9782874798,0.174661185
102,0.3605662505,0.9837543328,0.1550604684
103,0.3542096173,1.003907955,0.1584091626
104,0.3644301145,1.00676699,0.1756086237
105,0.3593558859,1.012848209,0.1699994475
106,0.361788458,1.019969893,0.1676614203
107,0.3572361097,0.9867876965,0.1622073374
108,0.3573150371,0.986590073,0.1601047362
109,0.352693699,0.9661314246,0.1659133625
110,0.3611381603,1.020645947,0.1737628485
111,0.3548109999,0.9509954569,0.1598103236
112,0.3573366734,0.985323236,0.158381341
113,0.3609341873,0.9761997445,0.173277727
114,0.3600809023,0.9849120339,0.1665751578
115,0.3571385938,1.004957999,0.1607657948
116,0.3606114964,1.00800877,0.1599345981
117,0.3605382915,0.9687522005,0.1558471751
118,0.3563881879,0.9968408235,0.1603064955
119,0.3477437394,1.013190984,0.1742172472
120,0.3541274274,0.9684505872,0.1610913038
121,0.3568977148,0.9681149224,0.1548744332
122,0.3608694061,1.019481817,0.1569265149
123,0.3647474368,0.9902320322,0.1906468839
124,0.3574654249,0.9656476404,0.1565897535
125,0.3584659904,0.9828077523,0.1597252178
126,0.3558150562,0.9848013668,0.1706001295
127,0.3573077438,0.9802986185,0.1602465897
128,0.3606960739,0.9999631669,0.1682179911
129,0.3535377229,1.009783673,0.1670811429
130,0.3651925493,0.9907368569,0.1480621252
131,0.3511984897,1.021110023,0.1719634382
132,0.3484832546,1.01459649,0.1687212094
133,0.3560289729,0.9407158883,0.1555566784
134,0.3634298368,0.9678226352,0.1881401166
135,0.3634672596,1.037904924,0.1659841671
136,0.3533139622,0.9832602165,0.1624973914
137,0.3655321261,1.001855948,0.1471931777
138,0.3563881881,0.9968408251,0.1603064957
139,0.3608247111,0.9865443092,0.1512917354
140,0.3517314197,0.9583770086,0.1639570317
141,0.3618001982,1.018067943,0.170464977
142,0.3593901378,0.9982714035,0.1594881388
143,0.3603806799,1.002972781,0.1577022654
144,0.3555799035,0.9976367116,0.1679964797
145,0.3690362505,0.98452188,0.1436474869
146,0.35383649,0.9853178603,0.163697239
147,0.3535087525,0.9589873629,0.1577409307
148,0.3625374603,0.9572542371,0.1792327464
149,0.3649036358,0.9841404298,0.1486118375
150,0.3590943173,0.9525194527,0.2024790172
151,0.3469926144,0.9939465549,0.1644843634
152,0.362615343,1.01733799,0.1569075012
153,0.3639511902,0.9926180666,0.1534541998
154,0.3624672148,0.9968839672,0.1541203137
155,0.3619651335,0.996027392,0.1725201171
156,0.3637319183,1.001548346,0.1534232418
157,0.3504517959,0.9605212542,0.1624102655
158,0.3546111426,0.9853567313,0.1774132903
159,0.3626971907,0.96645373,0.1520980997
160,0.3583647233,1.005316125,0.1712292227
161,0.356686384,0.9961917931,0.1666380525
162,0.3577110526,1.040891525,0.170541922
163,0.3536984283,1.012012413,0.1673933685
164,0.361548557,0.9945481768,0.1729687951
165,0.3590593745,0.9892389561,0.169285769
166,0.350791185,0.9975801337,0.1651820119
167,0.3568073626,0.991543454,0.1620729233
168,0.3582469684,0.9980037856,0.1642949571
169,0.3598354261,1.018028237,0.1571688444
170,0.3590731437,0.9880482708,0.1800222672
171,0.3643739745,0.9815719605,0.1588095315
172,0.3502510284,1.036541764,0.1702432218
173,0.3549309627,0.9802787872,0.1630482023
174,0.3608414485,1.004855447,0.1577399997
175,0.3595185102,0.9977836128,0.1760325376
176,0.3533696124,1.020933494,0.1687513689
177,0.3660549801,0.9802914472,0.1509948959
178,0.3532879546,0.9853746744,0.1598829318
179,0.3614111707,0.9622599563,0.1958291959
180,0.3532875203,1.000589157,0.1647972617
181,0.3494915709,1.013193639,0.1736448686
182,0.3582820623,1.005034518,0.1637378486
183,0.3715832871,0.9734412452,0.1361617915
184,0.356638906,1.00636298,0.1768700536
185,0.3604773541,0.9711969873,0.2025405725
186,0.3544028639,1.015516714,0.1626668391
187,0.3483193648,1.006634392,0.1669613114
188,0.3678516296,1.000636074,0.1800112334
189,0.3541353916,0.9893133454,0.1596389632
190,0.3620118253,0.98129705,0.2027029315
191,0.3525232417,0.969885933,0.1568025133
192,0.3549401635,0.9585918794,0.1665422411
193,0.3570008271,1.001745867,0.158804797
194,0.3526651734,1.02524796,0.1677850452
195,0.3601665032,0.9812490538,0.2042186073
196,0.3537140628,0.9729386654,0.1601944465
197,0.3562816994,0.9954475352,0.1624979758
198,0.3630680018,0.9705755821,0.178859611
199,0.3540480906,0.9959246579,0.159315866
