model,row_id,held_N_B,observed,predicted
additive,150,0.7,2.4128,2.37616362969
additive,151,0.7,2.3149,2.34073845636
additive,152,0.7,2.5974,2.61982476645
additive,153,0.7,2.5998,2.58367125809
additive,154,0.7,2.5611,2.54754713955
additive,155,0.7,2.5225,2.5114566071
additive,156,0.7,2.51,2.43940100103
additive,157,0.7,2.4421,2.36758959739
additive,158,0.7,2.2624,2.33184503161
additive,159,0.7,2.3039,2.29641985828
additive,160,1,3.0483,3.02164532655
additive,161,1,2.968,2.98590100413
additive,162,1,2.8948,2.95008299355
additive,163,1,2.8223,2.91418051315
additive,164,1,2.8442,2.84205838366
additive,165,1,2.7546,2.76931322742
additive,166,1,2.7505,2.73252400778
additive,167,1,2.6827,2.69488219369
additive,168,1,2.8264,2.78551813762
additive,169,1,2.8076,2.7497738152
additive,170,1,2.6823,2.71395580462
additive,171,1,2.6528,2.67805332422
additive,172,1,2.6707,2.60593119473
additive,173,1,2.4922,2.53318603848
additive,174,1,2.5805,2.49639681885
additive,175,1,2.5615,2.45875500476
additive,176,1,2.6482,2.67567343381
additive,177,1,2.6343,2.63992911139
additive,178,1,2.6133,2.6041111008
additive,179,1,2.5016,2.5682086204
additive,180,1,2.5859,2.49608649092
additive,181,1,2.3211,2.42334133467
additive,182,1,2.3833,2.38655211503
additive,183,1,2.334,2.34891030094
additive,184,1,2.6943,2.62186656426
additive,185,1,2.5728,2.58612224184
additive,186,1,2.4688,2.55030423125
additive,187,1,2.5249,2.51440175085
additive,188,1,2.4469,2.44227962136
additive,189,1,2.4239,2.36953446512
additive,190,1,2.2509,2.33274524548
additive,191,1,2.342,2.29510343139
additive,192,1,2.6008,2.57754796618
additive,193,1,2.4894,2.54180364376
additive,194,1,2.4439,2.50598563317
additive,195,1,2.4229,2.47008315277
additive,196,1,2.4336,2.39796102328
additive,197,1,2.3549,2.32521586704
additive,198,1,2.2636,2.2884266474
additive,199,1,2.2915,2.25078483331
additive,200,2.8,2.9592,2.92407613379
additive,201,2.8,2.8431,2.88719532464
additive,202,2.8,2.8867,2.85028786884
additive,203,2.8,2.771,2.81334991148
additive,204,2.8,2.7064,2.73935974453
additive,205,2.8,2.651,2.6651461004
additive,206,2.8,2.6397,2.62789075923
additive,207,2.8,2.484,2.5903359925
additive,208,2.8,2.5785,2.68794894486
additive,209,2.8,2.4874,2.65106813571
additive,210,2.8,2.5971,2.61416067991
additive,211,2.8,2.5963,2.57722272255
additive,212,2.8,2.5446,2.5032325556
additive,213,2.8,2.3227,2.42901891147
additive,214,2.8,2.3871,2.3917635703
additive,215,2.8,2.2984,2.35420880357
additive,216,2.8,2.4446,2.57810424105
additive,217,2.8,2.4506,2.5412234319
additive,218,2.8,2.3889,2.5043159761
additive,219,2.8,2.5101,2.46737801874
additive,220,2.8,2.2938,2.39338785179
additive,221,2.8,2.2577,2.31917420766
additive,222,2.8,2.2652,2.28191886648
additive,223,2.8,2.2464,2.24436409976
additive,224,2.8,2.446,2.5242973715
additive,225,2.8,2.3643,2.48741656235
additive,226,2.8,2.3988,2.45050910654
additive,227,2.8,2.3719,2.41357114918
additive,228,2.8,2.3342,2.33958098223
additive,229,2.8,2.2389,2.26536733811
additive,230,2.8,2.2601,2.22811199693
additive,231,2.8,2.1271,2.1905572302
additive,232,2.8,2.4515,2.47997877342
additive,233,2.8,2.4042,2.44309796427
additive,234,2.8,2.3538,2.40619050846
additive,235,2.8,2.3322,2.3692525511
additive,236,2.8,2.2986,2.29526238415
additive,237,2.8,2.2378,2.22104874003
additive,238,2.8,2.1287,2.18379339885
additive,239,2.8,2.1935,2.14623863212
additive,240,4,2.855,2.89714191873
additive,241,4,2.872,2.85959350515
additive,242,4,2.8016,2.82208448859
additive,243,4,2.6993,2.78462048267
additive,244,4,2.631,2.70986053389
additive,245,4,2.6463,2.63542746983
additive,246,4,2.6487,2.59842639398
additive,247,4,2.4852,2.56185126989
additive,248,4,2.5657,2.6610147298
additive,249,4,2.6024,2.62346631622
additive,250,4,2.5078,2.58595729965
additive,251,4,2.5793,2.54849329374
additive,252,4,2.4706,2.47373334496
additive,253,4,2.4391,2.39930028089
additive,254,4,2.3223,2.36229920505
additive,255,4,2.4105,2.32572408096
additive,256,4,2.494,2.55117002598
additive,257,4,2.4505,2.51362161241
additive,258,4,2.4411,2.47611259584
additive,259,4,2.3929,2.43864858992
additive,260,4,2.3873,2.36388864115
additive,261,4,2.2679,2.28945557708
additive,262,4,2.2339,2.25245450123
additive,263,4,2.2102,2.21587937714
additive,264,4,2.4125,2.49736315643
additive,265,4,2.3793,2.45981474285
additive,266,4,2.2697,2.42230572629
additive,267,4,2.3711,2.38484172037
additive,268,4,2.2294,2.31008177159
additive,269,4,2.1962,2.23564870753
additive,270,4,2.1753,2.19864763168
additive,271,4,2.1975,2.16207250759
additive,272,4,2.2637,2.45304455835
additive,273,4,2.2681,2.41549614477
additive,274,4,2.403,2.37798712821
additive,275,4,2.3312,2.34052312229
additive,276,4,2.2966,2.26576317352
additive,277,4,2.16,2.19133010945
additive,278,4,2.1978,2.1543290336
additive,279,4,2.1107,2.11775390951
additive,280,6.9,2.7585,2.86436532674
additive,281,6.9,2.6605,2.82726438292
additive,282,6.9,2.72,2.79007646919
additive,283,6.9,2.6823,2.75278883036
additive,284,6.9,2.5269,2.67783891288
additive,285,6.9,2.5341,2.60215241488
additive,286,6.9,2.5395,2.56381593865
additive,287,6.9,2.4679,2.52446695465
additive,288,6.9,2.5548,2.62823813781
additive,289,6.9,2.4799,2.59113719399
additive,290,6.9,2.4833,2.55394928026
additive,291,6.9,2.4979,2.51666164143
additive,292,6.9,2.4093,2.44171172395
additive,293,6.9,2.2784,2.36602522595
additive,294,6.9,2.347,2.32768874972
additive,295,6.9,2.2632,2.28833976572
additive,296,6.9,2.3272,2.518393434
additive,297,6.9,2.3658,2.48129249017
additive,298,6.9,2.3708,2.44410457644
additive,299,6.9,2.3438,2.40681693761
additive,300,6.9,2.2064,2.33186702013
additive,301,6.9,2.2296,2.25618052213
additive,302,6.9,2.2482,2.21784404591
additive,303,6.9,2.1506,2.1784950619
additive,304,6.9,2.3408,2.46458656444
additive,305,6.9,2.3195,2.42748562062
additive,306,6.9,2.3002,2.39029770689
additive,307,6.9,2.3167,2.35301006806
additive,308,6.9,2.2275,2.27806015058
additive,309,6.9,2.1189,2.20237365258
additive,310,6.9,2.1052,2.16403717635
additive,311,6.9,2.1363,2.12468819235
additive,312,6.9,2.2081,2.42026796636
additive,313,6.9,2.2684,2.38316702254
additive,314,6.9,2.2487,2.34597910881
additive,315,6.9,2.2425,2.30869146998
additive,316,6.9,2.1582,2.2337415525
additive,317,6.9,2.1315,2.1580550545
additive,318,6.9,2.0744,2.11971857828
additive,319,6.9,2.0492,2.08036959427
additive,320,11.97,2.77,2.83284667862
additive,321,11.97,2.6684,2.79570109124
additive,322,11.97,2.6888,2.75847665663
additive,323,11.97,2.7027,2.72116183235
additive,324,11.97,2.6784,2.64619274984
additive,325,11.97,2.6185,2.57055677458
additive,326,11.97,2.4891,2.53229268376
additive,327,11.97,2.4184,2.49311508628
additive,328,11.97,2.4506,2.59671948969
additive,329,11.97,2.4199,2.55957390231
additive,330,11.97,2.4152,2.5223494677
additive,331,11.97,2.3833,2.48503464342
additive,332,11.97,2.3437,2.4100655609
additive,333,11.97,2.2204,2.33442958565
additive,334,11.97,2.296,2.29616549483
additive,335,11.97,2.3439,2.25698789735
additive,336,11.97,2.4214,2.48687478587
additive,337,11.97,2.3485,2.4497291985
additive,338,11.97,2.3316,2.41250476388
additive,339,11.97,2.2453,2.3751899396
additive,340,11.97,2.2154,2.30022085709
additive,341,11.97,2.2885,2.22458488183
additive,342,11.97,2.1844,2.18632079102
additive,343,11.97,2.2045,2.14714319354
additive,344,11.97,2.2899,2.43306791632
additive,345,11.97,2.2886,2.39592232895
additive,346,11.97,2.2767,2.35869789433
additive,347,11.97,2.2501,2.32138307005
additive,348,11.97,2.1351,2.24641398754
additive,349,11.97,2.1274,2.17077801228
additive,350,11.97,2.2077,2.13251392147
additive,351,11.97,2.0939,2.09333632398
additive,352,11.97,2.288,2.38874931824
additive,353,11.97,2.2118,2.35160373087
additive,354,11.97,2.1456,2.31437929625
additive,355,11.97,2.141,2.27706447197
additive,356,11.97,2.0709,2.20209538946
additive,357,11.97,2.0161,2.1264594142
additive,358,11.97,2.0573,2.08819532339
additive,359,11.97,2.0191,2.04901772591
effective_tokens,0,0.07,3.7216,3.81056388998
effective_tokens,1,0.07,3.6004,3.58919685335
effective_tokens,2,0.07,3.6507,3.47840752242
effective_tokens,3,0.07,3.5704,3.40714099649
effective_tokens,4,0.07,3.5458,3.31602604603
effective_tokens,5,0.07,3.353,3.25741529421
effective_tokens,6,0.07,3.2211,3.23475769009
effective_tokens,7,0.07,3.1125,3.21511784965
effective_tokens,8,0.07,3.5105,3.35849434361
effective_tokens,9,0.07,3.4001,3.21740749446
effective_tokens,10,0.07,3.3596,3.14679663089
effective_tokens,11,0.07,3.2727,3.10137537149
effective_tokens,12,0.07,3.0798,3.04330384708
effective_tokens,13,0.07,3.1431,3.00594866346
effective_tokens,14,0.07,3.0628,2.99150798601
effective_tokens,15,0.07,2.9922,2.97899066072
effective_tokens,16,0.07,3.384,3.14819477731
effective_tokens,17,0.07,3.2214,3.04445370547
effective_tokens,18,0.07,3.3529,2.9925335817
effective_tokens,19,0.07,3.1687,2.9591353581
effective_tokens,20,0.07,3.1017,2.91643540256
effective_tokens,21,0.07,3.0179,2.88896815944
effective_tokens,22,0.07,2.7658,2.87834993835
effective_tokens,23,0.07,2.9653,2.86914595691
effective_tokens,24,0.07,3.2863,3.04518060422
effective_tokens,25,0.07,3.1355,2.95973317148
effective_tokens,26,0.07,3.1588,2.91696861155
effective_tokens,27,0.07,3.2809,2.8894598109
effective_tokens,28,0.07,3.0098,2.8542895402
effective_tokens,29,0.07,2.8391,2.83166585445
effective_tokens,30,0.07,2.858,2.82292004417
effective_tokens,31,0.07,2.837,2.81533908735
effective_tokens,32,0.07,3.1971,2.96033188934
effective_tokens,33,0.07,3.1469,2.88995220622
effective_tokens,34,0.07,3.1946,2.85472872344
effective_tokens,35,0.07,3.1242,2.83207080838
effective_tokens,36,0.07,2.9753,2.80310244237
effective_tokens,37,0.07,2.8695,2.78446820394
effective_tokens,38,0.07,2.8303,2.77726462466
effective_tokens,39,0.07,2.747,2.77102048927
effective_tokens,40,0.16,3.4765,3.60670700987
effective_tokens,41,0.16,3.4324,3.38093853388
effective_tokens,42,0.16,3.46,3.26817174755
effective_tokens,43,0.16,3.2484,3.19572379516
effective_tokens,44,0.16,3.269,3.10321278017
effective_tokens,45,0.16,3.2072,3.04377831522
effective_tokens,46,0.16,3.0024,3.02081911317
effective_tokens,47,0.16,3.0121,3.00092580989
effective_tokens,48,0.16,3.2175,3.15088935101
effective_tokens,49,0.16,3.1458,3.00699727295
effective_tokens,50,0.16,3.0796,2.93512609097
effective_tokens,51,0.16,3.002,2.88895185706
effective_tokens,52,0.16,2.8375,2.82999055995
effective_tokens,53,0.16,2.894,2.79211038809
effective_tokens,54,0.16,2.6326,2.77747748915
effective_tokens,55,0.16,2.793,2.76479862096
effective_tokens,56,0.16,3.1249,2.9388461892
effective_tokens,57,0.16,2.9746,2.8330424343
effective_tokens,58,0.16,3.0125,2.78019559919
effective_tokens,59,0.16,2.9738,2.74624371391
effective_tokens,60,0.16,2.8802,2.70288950906
effective_tokens,61,0.16,2.725,2.67503624241
effective_tokens,62,0.16,2.7204,2.66427668099
effective_tokens,63,0.16,2.6657,2.65495391714
effective_tokens,64,0.16,2.9719,2.83497792472
effective_tokens,65,0.16,2.9407,2.74783154122
effective_tokens,66,0.16,2.956,2.70430368569
effective_tokens,67,0.16,2.8482,2.67633885572
effective_tokens,68,0.16,2.8081,2.64062970565
effective_tokens,69,0.16,2.6978,2.61768806753
effective_tokens,70,0.16,2.6348,2.60882584078
effective_tokens,71,0.16,2.6071,2.60114704759
effective_tokens,72,0.16,2.98,2.74942572842
effective_tokens,73,0.16,2.9212,2.67764668651
effective_tokens,74,0.16,2.8818,2.64179450721
effective_tokens,75,0.16,2.8627,2.61876097878
effective_tokens,76,0.16,2.7288,2.58934875906
effective_tokens,77,0.16,2.658,2.5704526358
effective_tokens,78,0.16,2.5923,2.56315316887
effective_tokens,79,0.16,2.5781,2.55682844951
effective_tokens,80,0.41,3.228,3.43677837661
effective_tokens,81,0.41,3.2291,3.20640444873
effective_tokens,82,0.41,3.2054,3.09157469374
effective_tokens,83,0.41,3.0181,3.01789665186
effective_tokens,84,0.41,3.0836,2.92393504637
effective_tokens,85,0.41,2.9795,2.86364660366
effective_tokens,86,0.41,2.8227,2.84037515826
effective_tokens,87,0.41,2.9558,2.82021965303
effective_tokens,88,0.41,2.976,2.97705217912
effective_tokens,89,0.41,2.9489,2.83022484608
effective_tokens,90,0.41,2.9676,2.75703884437
effective_tokens,91,0.41,2.8049,2.71008062088
effective_tokens,92,0.41,2.6958,2.65019479929
effective_tokens,93,0.41,2.6518,2.61177035023
effective_tokens,94,0.41,2.6355,2.59693844501
effective_tokens,95,0.41,2.6047,2.5840924641
effective_tokens,96,0.41,2.8727,2.76319079269
effective_tokens,97,0.41,2.8815,2.65522874664
effective_tokens,98,0.41,2.7186,2.60141512541
effective_tokens,99,0.41,2.6566,2.56688677307
effective_tokens,100,0.41,2.6516,2.52285276596
effective_tokens,101,0.41,2.5539,2.49459929263
effective_tokens,102,0.41,2.5112,2.48369340201
effective_tokens,103,0.41,2.4068,2.47424776029
effective_tokens,104,0.41,2.8085,2.65843188013
effective_tokens,105,0.41,2.7682,2.56950779726
effective_tokens,106,0.41,2.6832,2.52518363809
effective_tokens,107,0.41,2.7891,2.49674399494
effective_tokens,108,0.41,2.5211,2.46047491853
effective_tokens,109,0.41,2.549,2.43720364593
effective_tokens,110,0.41,2.432,2.42822089359
effective_tokens,111,0.41,2.3791,2.42044089074
effective_tokens,112,0.41,2.6695,2.57214609209
effective_tokens,113,0.41,2.7354,2.49890282927
effective_tokens,114,0.41,2.6187,2.46239476605
effective_tokens,115,0.41,2.5858,2.43897015271
effective_tokens,116,0.41,2.5121,2.40909674372
effective_tokens,117,0.41,2.4741,2.38992911354
effective_tokens,118,0.41,2.471,2.38253037442
effective_tokens,119,0.41,2.3932,2.37612229266
effective_tokens,120,0.7,3.1919,3.36296513555
effective_tokens,121,0.7,3.1552,3.13006796051
effective_tokens,122,0.7,3.0155,3.01411056671
effective_tokens,123,0.7,3.0148,2.93976118184
effective_tokens,124,0.7,2.9615,2.8450091606
effective_tokens,125,0.7,2.8692,2.78425620415
effective_tokens,126,0.7,2.7928,2.76081510227
effective_tokens,127,0.7,2.8304,2.74051721866
effective_tokens,128,0.7,2.8444,2.90110318401
effective_tokens,129,0.7,2.8069,2.75266767572
effective_tokens,130,0.7,2.7973,2.67876298071
effective_tokens,131,0.7,2.7324,2.6313768811
effective_tokens,132,0.7,2.6134,2.57098729315
effective_tokens,133,0.7,2.6409,2.53226678926
effective_tokens,134,0.7,2.5496,2.51732675457
effective_tokens,135,0.7,2.5581,2.50439002973
effective_tokens,136,0.7,2.7893,2.68624825985
effective_tokens,137,0.7,2.6375,2.57710372355
effective_tokens,138,0.7,2.6856,2.52276164758
effective_tokens,139,0.7,2.5991,2.48791867821
effective_tokens,140,0.7,2.5608,2.443514252
effective_tokens,141,0.7,2.5043,2.41504308974
effective_tokens,142,0.7,2.4035,2.40405769159
effective_tokens,143,0.7,2.3542,2.39454532592
effective_tokens,144,0.7,2.6722,2.58100266789
effective_tokens,145,0.7,2.6214,2.4911046144
effective_tokens,146,0.7,2.5759,2.44634518789
effective_tokens,147,0.7,2.5792,2.41764640708
effective_tokens,148,0.7,2.4842,2.38107223106
effective_tokens,149,0.7,2.4416,2.35762165667
effective_tokens,150,0.7,2.4128,2.34857341712
effective_tokens,151,0.7,2.3149,2.34073845636
effective_tokens,152,0.7,2.5974,2.49431602122
effective_tokens,153,0.7,2.5998,2.42027053717
effective_tokens,154,0.7,2.5611,2.38340396139
effective_tokens,155,0.7,2.5225,2.35976590657
effective_tokens,156,0.7,2.51,2.32964119907
effective_tokens,157,0.7,2.4421,2.31032588506
effective_tokens,158,0.7,2.2624,2.3028732067
effective_tokens,159,0.7,2.3039,2.29641985828
effective_tokens,160,1,3.0483,3.32888680485
effective_tokens,161,1,2.968,3.0910245371
effective_tokens,162,1,2.8948,2.97285359078
effective_tokens,163,1,2.8223,2.89718846626
effective_tokens,164,1,2.8442,2.80088991442
effective_tokens,165,1,2.7546,2.73922973361
effective_tokens,166,1,2.7505,2.71545765751
effective_tokens,167,1,2.6827,2.69488219369
effective_tokens,168,1,2.8264,2.8628337434
effective_tokens,169,1,2.8076,2.71123376537
effective_tokens,170,1,2.6823,2.63591827698
effective_tokens,171,1,2.6528,2.58769359921
effective_tokens,172,1,2.6707,2.52631833999
effective_tokens,173,1,2.4922,2.48701962252
effective_tokens,174,1,2.5805,2.47186864356
effective_tokens,175,1,2.5615,2.45875500476
effective_tokens,176,1,2.6482,2.64602914445
effective_tokens,177,1,2.6343,2.53455777553
effective_tokens,178,1,2.6133,2.47917834407
effective_tokens,179,1,2.5016,2.44371876871
effective_tokens,180,1,2.5859,2.39858957903
effective_tokens,181,1,2.3211,2.36969325669
effective_tokens,182,1,2.3833,2.35855275134
effective_tokens,183,1,2.334,2.34891030094
effective_tokens,184,1,2.6943,2.53982851421
effective_tokens,185,1,2.5728,2.44801394039
effective_tokens,186,1,2.4688,2.40240008504
effective_tokens,187,1,2.5249,2.37319343017
effective_tokens,188,1,2.4469,2.33602229504
effective_tokens,189,1,2.4239,2.31222153304
effective_tokens,190,1,2.2509,2.3030455378
effective_tokens,191,1,2.342,2.29510343139
effective_tokens,192,1,2.6008,2.45235524013
effective_tokens,193,1,2.4894,2.37673119382
effective_tokens,194,1,2.4439,2.33916085867
effective_tokens,195,1,2.4229,2.31510448801
effective_tokens,196,1,2.4336,2.2844880888
effective_tokens,197,1,2.3549,2.26488433907
effective_tokens,198,1,2.2636,2.25732643339
effective_tokens,199,1,2.2915,2.25078483331
effective_tokens,200,2.8,2.9592,3.23620995787
effective_tokens,201,2.8,2.8431,2.99322972161
effective_tokens,202,2.8,2.8867,2.87278437437
effective_tokens,203,2.8,2.771,2.79577021327
effective_tokens,204,2.8,2.7064,2.69788949914
effective_tokens,205,2.8,2.651,2.63530342787
effective_tokens,206,2.8,2.6397,2.61119407774
effective_tokens,207,2.8,2.484,2.5903359925
effective_tokens,208,2.8,2.5785,2.76585239836
effective_tokens,209,2.8,2.4874,2.61099051619
effective_tokens,210,2.8,2.5971,2.53422545308
effective_tokens,211,2.8,2.5963,2.48514097558
effective_tokens,212,2.8,2.5446,2.42275733545
effective_tokens,213,2.8,2.3227,2.38286850769
effective_tokens,214,2.8,2.3871,2.3675025693
effective_tokens,215,2.8,2.2984,2.35420880357
effective_tokens,216,2.8,2.4446,2.54704537725
effective_tokens,217,2.8,2.4506,2.43317553226
effective_tokens,218,2.8,2.3889,2.37673022942
effective_tokens,219,2.8,2.5101,2.34063844385
effective_tokens,220,2.8,2.2938,2.29476779232
effective_tokens,221,2.8,2.2577,2.26543756225
effective_tokens,222,2.8,2.2652,2.25413899737
effective_tokens,223,2.8,2.2464,2.24436409976
effective_tokens,224,2.8,2.446,2.43986387069
effective_tokens,225,2.8,2.3643,2.34607376665
effective_tokens,226,2.8,2.3988,2.29958199505
effective_tokens,227,2.8,2.3719,2.26985461355
effective_tokens,228,2.8,2.3342,2.23207276551
effective_tokens,229,2.8,2.2389,2.20791461081
effective_tokens,230,2.8,2.2601,2.19860842817
effective_tokens,231,2.8,2.1271,2.1905572302
effective_tokens,232,2.8,2.4515,2.35158268745
effective_tokens,233,2.8,2.4042,2.27433147475
effective_tokens,234,2.8,2.3538,2.23603803458
effective_tokens,235,2.8,2.3322,2.21155276191
effective_tokens,236,2.8,2.2986,2.18043334255
effective_tokens,237,2.8,2.2378,2.16053522253
effective_tokens,238,2.8,2.1287,2.15287008662
effective_tokens,239,2.8,2.1935,2.14623863212
effective_tokens,240,4,2.855,3.20941200244
effective_tokens,241,4,2.872,2.96570293348
effective_tokens,242,4,2.8016,2.84493429197
effective_tokens,243,4,2.6993,2.76772860623
effective_tokens,244,4,2.631,2.66962355558
effective_tokens,245,4,2.6463,2.60690638317
effective_tokens,246,4,2.6487,2.58274931833
effective_tokens,247,4,2.4852,2.56185126989
effective_tokens,248,4,2.5657,2.7384427259
effective_tokens,249,4,2.6024,2.58311632693
effective_tokens,250,4,2.5078,2.50614521431
effective_tokens,251,4,2.5793,2.45693866981
effective_tokens,252,4,2.4706,2.39441205025
effective_tokens,253,4,2.4391,2.35443966602
effective_tokens,254,4,2.3223,2.33904331698
effective_tokens,255,4,2.4105,2.32572408096
effective_tokens,256,4,2.494,2.51935113834
effective_tokens,257,4,2.4505,2.40513973444
effective_tokens,258,4,2.4411,2.34854292352
effective_tokens,259,4,2.3929,2.31236138217
effective_tokens,260,4,2.3873,2.26638559795
effective_tokens,261,4,2.2679,2.23699392886
effective_tokens,262,4,2.2339,2.22567300305
effective_tokens,263,4,2.2102,2.21587937714
effective_tokens,264,4,2.4125,2.41203023836
effective_tokens,265,4,2.3793,2.3179588057
effective_tokens,266,4,2.2697,2.27134224286
effective_tokens,267,4,2.3711,2.24154093306
effective_tokens,268,4,2.2294,2.20367249137
effective_tokens,269,4,2.1962,2.17946373178
effective_tokens,270,4,2.1753,2.17013913131
