scenario,N_B,lambda_p,strategy,delta_loss,improvement,identified,evidence_note
S1_decay_0.1,100,0.316227766017,P1_observed_support,-0.158823434123,0.158823434123,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,100,0.316227766017,P2_continuous_support,-0.179823175284,0.179823175284,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S1_decay_0.1,100,0.316227766017,P3_loose_simplex,-0.37791281737,0.37791281737,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,1,0.251188643151,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,1,0.251188643151,P1_observed_support,-0.12615793806,0.12615793806,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,1,0.251188643151,P2_continuous_support,-0.142838625386,0.142838625386,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,1,0.251188643151,P3_loose_simplex,-0.300186821102,0.300186821102,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,7,0.170208165921,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,7,0.170208165921,P1_observed_support,-0.0854859956414,0.0854859956414,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,7,0.170208165921,P2_continuous_support,-0.0967890114168,0.0967890114168,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,7,0.170208165921,P3_loose_simplex,-0.203409866037,0.203409866037,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,40,0.120112443398,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,40,0.120112443398,P1_observed_support,-0.0603257297159,0.0603257297159,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,40,0.120112443398,P2_continuous_support,-0.0683020382274,0.0683020382274,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,40,0.120112443398,P3_loose_simplex,-0.143542208382,0.143542208382,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,100,0.1,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,100,0.1,P1_observed_support,-0.0502243797638,0.0502243797638,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,100,0.1,P2_continuous_support,-0.0568650809983,0.0568650809983,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S2_decay_0.2,100,0.1,P3_loose_simplex,-0.119506525986,0.119506525986,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,1,0.354813389234,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,1,0.354813389234,P1_observed_support,-0.178202824062,0.178202824062,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,1,0.354813389234,P2_continuous_support,-0.20176492118,0.20176492118,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,1,0.354813389234,P3_loose_simplex,-0.424025155207,0.424025155207,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,7,0.264993544358,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,7,0.264993544358,P1_observed_support,-0.133091364068,0.133091364068,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,7,0.264993544358,P2_continuous_support,-0.150688793639,0.150688793639,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,7,0.264993544358,P3_loose_simplex,-0.31668457895,0.31668457895,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,40,0.25,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,40,0.25,P1_observed_support,-0.12556094941,0.12556094941,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,40,0.25,P2_continuous_support,-0.142162702496,0.142162702496,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,40,0.25,P3_loose_simplex,-0.298766314965,0.298766314965,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,100,0.25,P0_reference,0,-0,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,100,0.25,P1_observed_support,-0.12556094941,0.12556094941,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,100,0.25,P2_continuous_support,-0.142162702496,0.142162702496,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
S3_floor_0.25,100,0.25,P3_loose_simplex,-0.298766314965,0.298766314965,False,Scenario normalized at 1M; exploratory V1 centered slopes are not a fitted lambda(N) law
